max 3.08x + 8.51y + -8.4z
1.83x + 9.52y + -7.57z <= 676.31
7.53x + 9.53y + -8.62z <= 437.67
-7.32x + 5.83y + 1.64z <= 373.25
1.29x + 9.61y + 8.37z <= 907.37
1.41x + -7.56y + 9.02z <= 311.07
0.11x + -3.52y + -7.81z <= 453.72
-7.59x + -7.5y + -8.2z <= 513.87
-6.13x + -7.94y + 0.3z <= 687.28
5.92x + -8.98y + 1.55z <= 249.73
-0.22x + 2.66y + -8.9z <= 594.49
2.63x + -5.88y + -5.89z <= 825.4
-4.76x + 6.19y + 1.04z <= 897.41
-2.02x + 3.84y + 3.6z <= 353.34
-7.93x + 5.59y + -1.2z <= 731.19
1.83x + -0.79y + 0.51z <= 505.37
7.35x + 4.65y + 8.04z <= 299.43
1.71x + -7.04y + 1.47z <= 969.68
5.21x + 7.31y + -3.93z <= 446.98
0.98x + -5.56y + 8.87z <= 888.32
8.22x + -5.12y + 1.05z <= 636.1
2.55x + -7.35y + -9.14z <= 891.86
-7.03x + -8.72y + 4.08z <= 305.81
-2.91x + 5.96y + 0.09z <= 573.64
-3.31x + -6.36y + -3.36z <= 421.84
0.55x + 5.08y + 8.07z <= 933.19
-8.47x + 4.06y + 7.48z <= 842.67
2.57x + -5.7y + 5.26z <= 682.35
8.22x + -2.14y + 7.44z <= 579.43
-7.31x + 9.36y + -2.2z <= 458.91
7.03x + -1.64y + 1.63z <= 370.01
4.67x + 6.9y + 1.76z <= 530.06
8.18x + 8.45y + -7.81z <= 866.13
-9.99x + -5.13y + 8.51z <= 837.71
-0.67x + 4.21y + 3.04z <= 114.24
-7.95x + 3.37y + -1.79z <= 457.62
-7.08x + -7.6y + 7.81z <= 571.14
-6.78x + 4.76y + 4.76z <= 125.46
8.45x + 3.8y + 7.18z <= 584.12
-8.53x + -6.1y + -1.35z <= 370.9
-1.79x + 5.21y + -2.98z <= 411.69
-6.32x + 8.53y + 8.7z <= 967.55
-5.08x + -5.02y + -8.32z <= 613.72
-5.88x + 6.04y + -4.24z <= 706.88
-8.35x + 3.63y + -7.11z <= 951.53
-2.29x + -2.42y + -0.59z <= 551.3
2.03x + -8.16y + -2.16z <= 294.28
-2.46x + -9.28y + -9.01z <= 512.32
-6.18x + 0.54y + -6.12z <= 572.29
8.28x + -5.03y + 5.84z <= 219.54
5.59x + -4.61y + 6.9z <= 739.36
4.99x + -8.65y + 0.55z <= 908.48
0.25x + -6.45y + 8.44z <= 696.41
-4.43x + -4.48y + -0.58z <= 241.59
-3.16x + 7.83y + 1.68z <= 656.86
-7.36x + 2.24y + -7.98z <= 546.79
9.07x + -10.0y + 9.04z <= 685.82
1.27x + -8.4y + -8.85z <= 806.16
4.42x + -2.8y + 2.59z <= 805.11
-1.99x + 9.16y + 4.14z <= 514.22
-3.82x + -1.53y + -9.86z <= 856.73
-3.19x + 8.74y + -8.57z <= 482.15
-7.12x + 6.65y + 9.69z <= 244.79
4.31x + 6.12y + 6.43z <= 515.79
-9.53x + 7.66y + -7.05z <= 211.11
-9.0x + 4.0y + 3.53z <= 595.16
9.32x + 2.77y + 5.66z <= 297.59
-0.04x + -7.42y + 9.43z <= 240.2
-9.31x + -3.58y + 5.39z <= 682.1
-9.24x + -9.1y + 9.15z <= 440.19
5.57x + -4.27y + -0.09z <= 256.9
6.76x + 7.3y + -7.33z <= 261.61
4.88x + -9.24y + 1.61z <= 113.06
5.72x + 4.46y + 6.09z <= 791.3
-5.48x + 3.85y + 8.21z <= 231.15
-5.92x + -8.21y + -1.18z <= 863.03
-4.62x + 3.28y + 1.21z <= 643.1
2.67x + -5.74y + -4.86z <= 473.62
-6.35x + -3.76y + -8.25z <= 427.85
-5.73x + 1.51y + 7.34z <= 368.13
5.78x + 8.89y + -4.82z <= 972.87
1.04x + -0.29y + 9.05z <= 101.43
6.31x + -9.59y + 1.65z <= 879.53
-2.22x + -1.69y + 1.57z <= 399.27
9.78x + 2.05y + 7.87z <= 345.13
3.7x + -3.04y + 5.78z <= 366.89
-4.23x + 9.74y + -4.13z <= 595.95
-1.62x + 0.21y + 7.9z <= 777.76
6.47x + 0.1y + 0.44z <= 299.79
3.99x + 4.26y + 1.36z <= 411.18
9.72x + -7.33y + -6.25z <= 346.35
9.6x + 0.62y + 2.19z <= 604.77
3.0x + -2.38y + 7.88z <= 872.49
-5.11x + 1.97y + 2.83z <= 418.67
1.94x + -0.93y + -2.97z <= 191.97
-9.43x + -9.57y + -4.52z <= 754.82
9.89x + -8.81y + 8.34z <= 233.44
4.88x + -2.38y + 8.69z <= 294.73
-0.46x + 9.86y + -5.09z <= 390.49
8.83x + -0.11y + 0.48z <= 191.58
-2.88x + 8.25y + -0.24z <= 904.63
1.95x + -3.46y + -6.0z <= 313.07
-5.76x + -1.82y + -1.84z <= 671.48
-8.84x + 4.4y + -9.79z <= 384.53
-5.89x + -2.78y + -1.44z <= 903.2
8.28x + -3.95y + 9.52z <= 721.84
1.1x + 2.47y + 6.02z <= 644.04
7.29x + 8.46y + 8.27z <= 851.38
3.28x + 2.57y + 4.42z <= 574.85
4.29x + 7.03y + -2.57z <= 767.42
0.05x + -3.98y + 7.18z <= 470.6
-9.89x + 6.42y + 0.74z <= 568.21
-5.24x + -8.67y + 8.86z <= 262.38
5.24x + 2.4y + 8.42z <= 532.68
8.71x + 3.09y + -9.62z <= 259.85
-1.41x + 6.57y + 0.31z <= 148.4
-6.01x + -5.06y + 8.13z <= 161.38
0.21x + 0.01y + -1.42z <= 183.41
-7.61x + 0.97y + -9.87z <= 219.04
6.39x + 0.62y + -8.96z <= 640.75
-2.87x + 0.85y + 8.72z <= 186.17
2.09x + 7.99y + 1.82z <= 335.91
2.12x + -6.55y + -4.64z <= 956.65
-9.67x + -5.69y + -0.8z <= 513.72
5.54x + -3.36y + -1.07z <= 604.79
5.76x + -7.82y + -9.54z <= 218.15
2.77x + -0.27y + 2.96z <= 234.43
-3.14x + 8.17y + 2.98z <= 147.91
-8.86x + 7.32y + -8.3z <= 654.49
-8.2x + -6.81y + 5.26z <= 125.37
3.18x + 9.65y + 2.59z <= 293.45
3.37x + 2.03y + -9.58z <= 649.93
0.05x + 5.91y + 8.26z <= 218.42
-2.66x + 8.54y + -9.07z <= 835.47
9.07x + 2.4y + 1.48z <= 357.4
-9.89x + -7.53y + -8.87z <= 324.39
7.37x + 5.29y + -5.56z <= 811.8
-2.96x + 3.66y + -0.95z <= 581.3
2.91x + 8.89y + -0.83z <= 389.23
5.59x + 8.64y + -4.85z <= 643.0
-3.12x + 7.11y + -3.15z <= 289.53
-8.66x + -5.93y + -5.04z <= 557.76
2.7x + 3.13y + -1.02z <= 484.31
9.01x + -8.84y + -3.07z <= 211.36
-2.55x + 5.82y + -0.97z <= 208.88
2.21x + 0.92y + 2.99z <= 247.17
-6.48x + -6.6y + 4.66z <= 837.07
-8.89x + 2.64y + 9.18z <= 876.88
7.49x + -4.97y + -6.18z <= 572.16
-9.76x + -1.69y + -1.75z <= 751.22
7.54x + -1.56y + -1.83z <= 957.15
1.55x + 2.27y + -2.22z <= 205.33
4.09x + -3.81y + 8.96z <= 534.76
-0.63x + 9.11y + -9.75z <= 542.31
-0.73x + -0.14y + 3.72z <= 949.4
-0.06x + 7.16y + -5.76z <= 316.33
9.51x + 4.97y + 3.15z <= 180.76
-8.94x + -9.46y + 4.46z <= 722.22
8.64x + -5.0y + 3.71z <= 319.91
-5.1x + 6.37y + 5.74z <= 272.9
8.17x + -4.11y + -6.62z <= 366.81
-2.47x + -8.56y + 9.11z <= 947.82
-2.55x + 0.82y + 2.56z <= 465.9
1.19x + -5.63y + 9.91z <= 857.29
-5.87x + 3.89y + 9.94z <= 698.47
2.44x + -6.42y + 9.42z <= 800.3
-1.37x + -1.8y + -2.61z <= 661.57
6.8x + 2.77y + -0.05z <= 268.7
-6.55x + -6.23y + 5.19z <= 361.31
-5.8x + 6.11y + -8.38z <= 438.08
9.91x + 5.39y + -0.38z <= 943.76
-0.03x + 2.81y + 6.26z <= 343.17
-1.49x + -0.94y + -3.37z <= 368.57
8.72x + 8.51y + -1.01z <= 385.26
-0.33x + -7.5y + 4.7z <= 387.37
-3.81x + -0.21y + 2.76z <= 395.22
4.85x + -1.88y + -4.92z <= 156.78
-1.46x + -1.3y + 2.94z <= 634.08
-7.81x + 5.6y + 6.66z <= 264.61
5.0x + 5.26y + -5.7z <= 963.98
-4.09x + -9.69y + -0.66z <= 458.55
8.3x + -1.35y + -5.29z <= 815.17
-2.33x + 8.13y + -1.3z <= 974.58
1.42x + -1.85y + -5.63z <= 433.64
4.8x + 6.69y + -7.71z <= 632.65
0.66x + 9.01y + -3.84z <= 928.7
-3.55x + 8.82y + -5.6z <= 526.02
4.24x + 0.93y + 3.64z <= 642.4
-3.63x + -4.28y + -7.87z <= 541.38
-3.18x + 6.76y + -7.99z <= 387.15
5.68x + -0.53y + -7.74z <= 832.56
-0.05x + 0.23y + 2.34z <= 312.81
-5.22x + 9.13y + -5.64z <= 683.2
-9.86x + -6.47y + 7.56z <= 331.05
-7.23x + 9.44y + -0.97z <= 396.06
-5.02x + -6.5y + -1.36z <= 968.28
-9.66x + -0.29y + 8.36z <= 102.42
2.75x + -6.85y + -6.41z <= 359.77
2.46x + -5.84y + -6.9z <= 804.87
9.74x + 8.44y + -7.62z <= 498.16
-5.67x + 2.43y + -7.51z <= 642.38
-8.1x + -3.06y + 0.27z <= 495.98
-7.36x + 2.42y + 4.81z <= 269.88
2.93x + -6.94y + 9.59z <= 706.15
6.88x + -6.55y + 6.34z <= 810.22
8.96x + 5.55y + -6.72z <= 145.53
-3.51x + -7.13y + -0.6z <= 358.37
2.29x + -6.04y + 5.88z <= 238.15
9.58x + -8.01y + 4.85z <= 729.8
-9.3x + -1.46y + 1.46z <= 461.62
5.58x + 9.29y + -3.75z <= 160.27
-0.36x + -4.7y + -5.23z <= 672.37
5.01x + -0.05y + 5.01z <= 276.55
4.25x + -0.6y + 7.65z <= 695.38
-4.72x + -9.91y + -1.53z <= 977.32
5.25x + 5.18y + -0.16z <= 295.86
-5.84x + -4.5y + -2.05z <= 503.29
-3.55x + 6.46y + 0.88z <= 624.44
3.38x + 7.71y + -6.49z <= 906.88
4.55x + -3.26y + -7.72z <= 367.68
2.77x + 2.14y + 2.57z <= 444.4
-7.97x + 2.74y + -2.81z <= 730.44
5.38x + -9.32y + -1.96z <= 771.57
-2.73x + -5.17y + 4.42z <= 154.42
5.4x + -8.96y + -8.45z <= 573.88
1.0x + 1.23y + 8.04z <= 171.2
1.93x + 6.97y + -1.3z <= 906.6
-3.06x + -5.0y + -2.5z <= 654.84
-6.6x + 4.48y + 9.24z <= 502.68
-7.61x + -2.17y + 9.27z <= 289.85
3.63x + -0.81y + -0.31z <= 613.54
3.33x + 7.92y + -2.16z <= 268.89
6.09x + -7.68y + -9.06z <= 209.3
-0.29x + -4.33y + -8.24z <= 623.11
-1.81x + 5.88y + -3.64z <= 990.89
0.03x + 5.75y + 6.66z <= 666.77
7.1x + 5.87y + -5.44z <= 387.32
3.91x + 4.92y + 0.14z <= 865.26
-7.0x + -1.03y + -1.25z <= 334.86
-7.54x + -9.96y + -8.56z <= 999.23
-3.46x + -8.64y + -8.59z <= 131.31
-0.41x + -7.89y + 1.45z <= 815.59
2.06x + -6.51y + -7.85z <= 389.22
-7.29x + -4.0y + 4.28z <= 405.57
4.75x + 6.92y + -5.65z <= 708.15
1.65x + -7.62y + 8.5z <= 835.84
7.67x + -8.01y + -6.63z <= 393.57
-4.43x + -3.34y + 6.78z <= 453.0
3.84x + -7.16y + -0.94z <= 821.61
-3.69x + -9.36y + -8.21z <= 842.82
-4.5x + -3.41y + 5.43z <= 912.08
-0.52x + -4.06y + -1.48z <= 592.0
7.21x + 0.93y + 3.66z <= 932.83
6.04x + -0.86y + -7.37z <= 189.23
-3.42x + -3.49y + 8.61z <= 230.71
1.49x + 6.95y + -6.11z <= 345.62
5.01x + -3.61y + 8.63z <= 659.18
4.89x + 0.4y + 1.19z <= 172.42
-6.29x + -7.41y + -5.6z <= 148.7
1.4x + 3.31y + -3.82z <= 573.1
-1.2x + -9.25y + -8.71z <= 824.65
-4.28x + 7.48y + 7.33z <= 521.17
4.99x + -3.82y + -5.11z <= 158.03
-0.19x + -8.07y + 2.67z <= 684.44
-8.09x + 7.69y + -0.66z <= 243.55
-2.69x + -7.03y + 3.87z <= 451.42
-2.91x + -5.03y + 0.63z <= 321.83
5.49x + 3.22y + 2.59z <= 261.59
1.73x + 0.45y + 0.4z <= 938.14
-3.98x + -3.65y + -8.7z <= 977.81
2.23x + -2.01y + 8.25z <= 908.53
-1.32x + 8.93y + 9.13z <= 608.07
2.42x + 2.29y + -6.38z <= 759.63
0.02x + 5.99y + -1.52z <= 372.46
-2.28x + 5.23y + -4.51z <= 792.45
-7.85x + -6.38y + 4.62z <= 629.45
4.23x + -3.1y + -6.13z <= 206.69
-2.57x + 7.18y + 3.78z <= 702.95
-2.23x + -8.97y + 7.16z <= 815.48
1.92x + 2.93y + 8.89z <= 490.79
-3.96x + 8.6y + 6.25z <= 995.83
7.61x + -3.58y + -8.47z <= 410.88
8.95x + -2.32y + 8.25z <= 787.3
4.51x + -5.21y + 5.84z <= 869.58
4.3x + 0.16y + -3.13z <= 917.44
-9.88x + 6.8y + 6.77z <= 394.58
-3.61x + 1.13y + -9.97z <= 272.13
-4.81x + 2.42y + 8.16z <= 177.93
-9.31x + -0.73y + -1.99z <= 510.71
-4.04x + -1.9y + -7.2z <= 901.25
6.89x + 0.86y + 4.26z <= 145.14
2.79x + -6.06y + 0.51z <= 238.47
9.96x + 9.44y + 7.01z <= 387.9
9.61x + 9.28y + -0.18z <= 551.07
4.82x + 3.8y + 5.63z <= 537.32
1.09x + -5.23y + -2.28z <= 175.5
-8.39x + 9.1y + -0.15z <= 421.52
-5.5x + -2.6y + 5.01z <= 569.7
7.72x + 3.69y + 6.06z <= 683.59
-1.21x + 6.58y + -0.52z <= 810.45
5.0x + 5.8y + -4.21z <= 778.96
2.15x + -1.24y + -9.86z <= 194.58
-3.39x + 5.28y + -4.92z <= 735.79
0.34x + 1.37y + -3.44z <= 133.1
5.16x + 5.65y + -1.09z <= 406.41
-5.63x + 4.96y + -8.8z <= 469.74
2.22x + -5.43y + -1.06z <= 409.02
-0.43x + -2.2y + -4.34z <= 278.14
5.47x + 2.83y + -0.85z <= 778.66
4.88x + 4.05y + 1.1z <= 935.43
4.54x + -8.45y + -9.25z <= 725.78
-8.8x + 3.78y + -2.64z <= 200.94
-0.13x + -8.71y + -8.49z <= 626.54
6.5x + 5.97y + 5.81z <= 198.74
-4.93x + -9.44y + -4.49z <= 710.55
-0.84x + -5.65y + 8.01z <= 864.91
-8.56x + 1.14y + -2.12z <= 600.63
8.94x + -5.34y + 4.44z <= 471.1
-8.45x + -1.93y + -0.32z <= 415.63
-6.01x + -8.49y + 0.32z <= 497.2
-8.69x + -7.58y + 5.0z <= 761.0
-1.62x + 2.08y + -6.17z <= 918.11
-8.16x + 8.06y + -6.96z <= 331.43
7.58x + -4.31y + -9.65z <= 795.67
5.69x + 6.33y + -2.56z <= 207.03
9.86x + 9.46y + 4.11z <= 573.77
7.86x + -1.13y + 9.27z <= 987.09
9.55x + -3.61y + -1.75z <= 298.42
-4.91x + 4.81y + -2.88z <= 983.8
2.14x + -4.02y + -3.16z <= 781.36
-9.5x + -0.86y + -1.96z <= 241.02
-3.89x + 9.87y + 7.0z <= 292.89
8.4x + -2.15y + -3.02z <= 839.06
-3.59x + 2.91y + 3.57z <= 169.91
-5.73x + 1.53y + 4.36z <= 767.83
9.36x + -9.27y + -5.94z <= 642.71
-3.55x + -3.91y + 3.87z <= 891.22
2.84x + 8.67y + -8.29z <= 959.13
9.73x + 0.21y + -0.36z <= 619.93
-0.15x + -7.72y + 1.0z <= 454.0
1.9x + -6.03y + 1.85z <= 437.52
6.91x + -6.75y + 9.42z <= 730.46
1.83x + 1.76y + 4.22z <= 678.24
-3.08x + -1.29y + 1.78z <= 713.16
-7.75x + -1.68y + 9.33z <= 170.19
-6.81x + -2.91y + 4.9z <= 168.73
-2.26x + 2.73y + 6.27z <= 126.71
0.91x + -6.51y + 2.07z <= 160.32
4.97x + 0.02y + 9.14z <= 269.64
-9.08x + -4.21y + 7.9z <= 167.84
2.03x + -3.43y + 1.85z <= 678.49
0.5x + -4.72y + 3.0z <= 723.89
4.94x + -5.94y + -5.85z <= 359.83
2.56x + -4.67y + -6.73z <= 265.73
-0.92x + 4.5y + 9.99z <= 682.84
-4.23x + 7.5y + -7.61z <= 581.25
-3.36x + 6.82y + 0.12z <= 847.07
6.39x + -2.6y + 2.62z <= 593.42
0.4x + -8.57y + -4.03z <= 207.28
9.43x + 4.22y + 6.04z <= 887.52
-9.09x + -7.65y + -9.02z <= 278.56
2.94x + -9.17y + -3.45z <= 161.23
5.27x + 1.84y + -7.24z <= 895.41
9.23x + 4.68y + -5.32z <= 463.43
1.54x + -8.04y + 5.92z <= 668.15
1.84x + 0.76y + -5.18z <= 428.46
-6.47x + 9.92y + 0.76z <= 527.38
-6.38x + 4.27y + 5.73z <= 445.93
-9.44x + -7.57y + 6.8z <= 360.87
-0.5x + -10.0y + -7.0z <= 570.88
3.31x + 1.64y + 9.2z <= 553.35
-2.56x + -0.62y + -0.7z <= 697.1
1.93x + 3.93y + -1.69z <= 400.88
-2.48x + 8.55y + -5.37z <= 935.37
-4.12x + -5.53y + -8.4z <= 316.09
-1.35x + -7.61y + 1.01z <= 590.42
-6.92x + 6.15y + -0.9z <= 723.79
4.96x + -6.33y + -4.69z <= 336.33
7.0x + -0.19y + -7.11z <= 395.04
-2.24x + 1.31y + -3.54z <= 624.62
-0.66x + -7.2y + -4.99z <= 196.1
2.3x + -2.43y + 2.41z <= 703.07
-2.29x + -2.56y + -7.71z <= 218.83
-0.82x + -3.79y + 0.07z <= 281.67
-7.52x + -5.69y + 1.34z <= 213.89
7.97x + -0.34y + -1.88z <= 144.38
9.77x + -3.51y + -7.28z <= 330.62
-0.93x + -3.84y + 8.02z <= 861.02
1.56x + 3.99y + 2.63z <= 575.54
-1.45x + 1.51y + 4.01z <= 550.95
0.63x + -2.14y + -5.34z <= 172.24
-2.42x + 2.38y + 4.0z <= 197.44
-0.52x + -1.31y + 7.87z <= 305.49
5.2x + 8.73y + -0.39z <= 760.86
-3.95x + 1.89y + -7.7z <= 975.77
5.95x + -1.71y + 6.31z <= 784.0
5.13x + -0.24y + -4.88z <= 533.19
1.92x + -0.94y + 0.33z <= 780.5
8.04x + 1.19y + -5.34z <= 200.72
-9.23x + -2.0y + 7.09z <= 875.5
6.29x + -1.56y + -9.64z <= 928.18
1.15x + 7.51y + -4.48z <= 812.68
6.44x + -5.04y + -1.01z <= 977.15
-8.92x + -2.26y + -5.25z <= 907.75
-5.81x + 7.89y + 8.75z <= 697.55
-1.64x + 5.96y + -4.35z <= 342.52
0.63x + 9.06y + -6.93z <= 210.6
9.15x + 7.14y + 3.02z <= 244.24
7.17x + 4.39y + -0.97z <= 407.85
-8.78x + -4.63y + -3.15z <= 980.11
1.27x + -3.1y + -4.91z <= 986.72
8.06x + 0.38y + 1.22z <= 655.98
-1.05x + -1.58y + 1.44z <= 801.25
9.74x + 7.84y + -2.08z <= 159.61
-8.87x + -7.38y + -3.05z <= 750.6
-7.47x + 6.22y + 5.81z <= 147.9
1.57x + -1.01y + 4.98z <= 922.59
2.48x + 7.7y + -7.52z <= 829.95
0.24x + 5.2y + 7.04z <= 814.06
9.83x + -0.94y + 0.86z <= 817.86
-5.82x + -1.86y + -9.32z <= 537.49
-4.93x + 1.29y + -5.54z <= 153.56
-9.93x + -2.48y + 3.41z <= 607.19
1.34x + 6.12y + 3.17z <= 554.71
-2.01x + 8.61y + -6.08z <= 196.3
5.34x + 7.4y + -2.71z <= 993.0
1.38x + -6.4y + 3.06z <= 853.15
3.81x + 0.61y + 5.86z <= 200.93
5.69x + -9.36y + 9.47z <= 422.78
6.64x + -6.25y + 5.65z <= 598.47
-8.46x + -5.75y + 0.23z <= 225.54
-9.83x + 7.3y + 7.81z <= 833.28
-0.38x + -0.73y + 1.94z <= 293.43
-8.64x + 5.48y + 3.9z <= 626.05
8.96x + 5.36y + 0.87z <= 958.93
5.84x + 1.26y + -8.51z <= 321.7
4.71x + -6.86y + 2.28z <= 163.06
2.12x + 1.74y + 9.82z <= 487.67
9.38x + 9.0y + 7.86z <= 681.11
-0.63x + -5.2y + 1.43z <= 977.56
-9.03x + -9.46y + -6.19z <= 735.94
8.17x + 1.19y + -9.44z <= 932.15
-2.6x + -5.55y + -8.0z <= 338.58
-6.33x + -0.61y + 2.47z <= 379.24
2.63x + -8.03y + 2.3z <= 904.5
3.14x + -9.96y + -3.0z <= 840.48
-8.25x + -5.99y + -1.35z <= 212.92
-6.56x + -7.23y + 4.63z <= 675.69
5.98x + -5.85y + 3.18z <= 190.41
7.9x + 6.27y + -0.93z <= 553.26
6.89x + -2.18y + -3.86z <= 745.73
-1.4x + -5.67y + -5.78z <= 622.66
-6.15x + 4.96y + 2.5z <= 265.13
-7.04x + 9.82y + -9.28z <= 621.01
-9.76x + -9.38y + 6.62z <= 188.57
-5.2x + 8.66y + -3.83z <= 373.11
2.63x + 0.11y + -2.98z <= 204.95
5.31x + -4.89y + 0.4z <= 576.76
-4.17x + 8.94y + -2.39z <= 800.65
3.35x + -7.59y + 1.33z <= 458.55
-6.71x + 2.65y + -1.31z <= 149.13
-6.66x + 4.04y + -9.25z <= 902.57
-3.4x + -1.31y + 8.23z <= 458.58
-5.84x + 0.43y + -1.28z <= 318.58
-9.87x + 3.7y + 6.74z <= 984.21
0.52x + -5.74y + -3.7z <= 674.29
-4.56x + 8.2y + -1.14z <= 318.22
3.31x + -4.76y + -0.45z <= 492.32
-5.52x + 8.32y + 9.51z <= 337.75
0.36x + 2.34y + -2.76z <= 878.07
-8.89x + -8.75y + 5.89z <= 116.88
-3.85x + 4.14y + -3.29z <= 641.89
9.36x + 1.87y + 3.3z <= 369.3
-6.53x + 0.9y + 8.02z <= 571.12
3.5x + 1.53y + 0.74z <= 579.78
-4.68x + -4.11y + 3.13z <= 996.96
3.32x + 0.1y + 2.23z <= 278.06
9.18x + -9.48y + 9.99z <= 949.59
1.51x + 5.47y + 1.22z <= 536.9
-6.57x + -4.87y + -2.25z <= 255.31
-4.18x + 3.07y + -3.43z <= 627.5
0.42x + -9.31y + 9.01z <= 841.36
7.71x + 3.87y + -1.2z <= 842.8
9.64x + -2.12y + -6.61z <= 979.14
-4.38x + -5.59y + -0.44z <= 130.4
1.94x + -1.23y + 3.36z <= 912.58
-6.02x + -5.76y + 6.78z <= 698.91
-5.44x + 1.63y + 1.11z <= 409.84
-1.95x + 5.79y + -8.61z <= 681.44
8.22x + 6.41y + 5.07z <= 141.7
-0.37x + 3.97y + -8.64z <= 501.56
0.13x + -8.79y + -9.26z <= 616.04
-3.26x + -7.29y + 6.37z <= 424.21
8.16x + 5.27y + 4.29z <= 330.84
-2.87x + 5.33y + 4.62z <= 824.83
-1.27x + 5.14y + -1.99z <= 905.54
-4.63x + 5.66y + -4.32z <= 714.88
-8.85x + -6.05y + 1.1z <= 354.67
0.65x + 4.86y + -8.74z <= 574.41
-3.16x + 9.52y + 1.83z <= 927.85
-1.07x + -9.51y + 7.34z <= 644.36
-2.57x + -7.23y + 9.94z <= 646.7
0.46x + 6.1y + -8.71z <= 194.18
-3.72x + -6.25y + -5.34z <= 286.49
7.34x + -0.12y + -2.8z <= 614.1
9.95x + 9.79y + 5.53z <= 964.88
-8.32x + 6.86y + -9.69z <= 189.82
-1.5x + 3.82y + 5.25z <= 716.14
-1.37x + 1.98y + 0.17z <= 613.79
-7.28x + -9.01y + -9.57z <= 476.43
-9.34x + 0.31y + -9.89z <= 222.61
-0.18x + 4.78y + -6.45z <= 736.77
-6.93x + -7.05y + -7.05z <= 119.98
-3.68x + 7.74y + 8.46z <= 905.04
2.41x + -6.7y + 9.36z <= 543.56
-9.9x + 1.84y + 9.21z <= 665.61
-6.07x + -1.31y + -1.46z <= 948.58
-0.37x + 9.47y + 9.49z <= 688.69
-4.18x + -9.19y + -5.41z <= 207.24
-5.33x + 9.02y + -0.56z <= 309.77
1.71x + 8.92y + 3.33z <= 629.74
-6.13x + -5.95y + 9.09z <= 809.8
-3.87x + 2.82y + -0.81z <= 123.6
4.26x + 2.94y + 9.27z <= 692.17
-2.16x + 6.33y + 7.3z <= 880.08
-6.83x + -9.3y + 1.63z <= 894.54
-0.3x + -6.97y + -7.65z <= 687.25
-6.77x + 5.32y + 5.45z <= 327.19
-8.36x + -3.67y + 9.78z <= 358.03
-8.07x + -4.74y + -9.44z <= 971.87
7.1x + -2.59y + 7.57z <= 777.07
-5.26x + -1.96y + -6.59z <= 805.56
-2.43x + 5.35y + 1.65z <= 943.46
-4.46x + -7.12y + -8.68z <= 365.66
-0.75x + 4.23y + 0.01z <= 709.84
-7.68x + 1.61y + 7.72z <= 476.92
-3.2x + -7.06y + 0.59z <= 890.68
1.94x + 7.79y + 8.69z <= 452.86
-6.71x + 2.91y + 9.92z <= 404.06
-3.63x + 7.0y + -3.65z <= 953.17
6.07x + 0.74y + -9.04z <= 331.62
2.18x + 5.12y + -7.69z <= 961.82
8.98x + 1.76y + 4.49z <= 549.5
-1.66x + 7.58y + -1.41z <= 222.29
0.17x + 1.16y + -4.41z <= 706.5
3.01x + -2.15y + -0.34z <= 190.18
6.08x + 0.74y + -2.06z <= 282.57
0.71x + 3.78y + -0.22z <= 901.97
-1.9x + 8.12y + -8.12z <= 564.59
-4.67x + 0.74y + 2.37z <= 459.65
-2.0x + 1.29y + 1.85z <= 459.06
1.5x + -6.95y + -6.88z <= 785.91
5.24x + 4.71y + 4.77z <= 436.43
-3.97x + 3.45y + -9.89z <= 993.38
-6.74x + 8.64y + -7.66z <= 299.6
0.4x + -7.25y + 9.17z <= 859.34
6.23x + -3.92y + -8.79z <= 378.86
4.3x + 5.93y + -5.8z <= 287.82
7.46x + 9.8y + 0.31z <= 919.7
-1.93x + 9.31y + 0.93z <= 220.03
9.87x + 7.17y + -3.04z <= 303.42
7.41x + -6.83y + 9.66z <= 877.5
-8.52x + -8.86y + -6.05z <= 757.69
-8.37x + 4.92y + -4.82z <= 949.16
-9.07x + -3.15y + 3.79z <= 628.01
1.65x + -9.96y + -3.73z <= 801.69
0.7x + -3.75y + -0.54z <= 618.94
4.57x + -9.1y + -9.0z <= 122.76
-7.5x + -0.01y + -2.47z <= 149.83
-5.71x + 5.52y + -3.82z <= 779.22
-9.54x + -0.15y + -3.38z <= 974.02
-8.3x + 9.1y + 9.75z <= 320.95
8.57x + 2.2y + 7.35z <= 168.09
2.11x + 3.65y + 0.78z <= 169.86
-6.11x + -8.65y + 7.35z <= 792.08
9.33x + -0.46y + 2.62z <= 158.24
2.59x + 3.38y + 0.8z <= 754.91
1.94x + 2.5y + 4.81z <= 209.55
9.89x + -2.73y + -1.21z <= 337.09
-5.99x + 3.59y + 7.25z <= 496.53
4.96x + 7.25y + 1.74z <= 314.25
5.71x + 4.02y + -6.77z <= 340.15
4.38x + -1.08y + 5.76z <= 680.05
-8.92x + 7.68y + 7.73z <= 817.61
0.53x + -6.04y + -5.32z <= 229.13
-5.7x + 8.64y + 5.93z <= 323.07
-9.58x + 6.74y + 5.61z <= 277.94
6.34x + -7.34y + -5.65z <= 881.7
0.28x + -6.66y + 4.94z <= 911.54
-9.03x + 2.97y + -2.26z <= 633.81
-2.97x + -0.79y + 8.71z <= 408.18
2.86x + 7.62y + -8.21z <= 317.18
8.38x + -4.16y + 6.18z <= 229.07
3.95x + 7.11y + -1.24z <= 844.29
-0.37x + -2.78y + -3.46z <= 792.19
