max -7.21x + 3.78y + -1.01z
5.43x + -5.3y + -8.91z <= 261.05
2.55x + -9.77y + 5.89z <= 818.29
6.86x + -2.3y + 4.63z <= 831.05
-9.75x + -8.26y + -5.48z <= 780.4
0.7x + -4.85y + 2.39z <= 522.51
-2.01x + -2.54y + 9.87z <= 353.76
-3.08x + 6.96y + 6.46z <= 451.89
-3.91x + 9.76y + 7.4z <= 867.67
7.65x + 5.53y + 2.04z <= 812.29
8.07x + 0.62y + -6.14z <= 829.59
-0.22x + 9.56y + 6.04z <= 538.3
9.18x + 7.48y + -4.41z <= 518.28
0.34x + 5.17y + 1.87z <= 265.97
-4.51x + 3.42y + 7.56z <= 605.61
5.86x + -1.5y + 7.91z <= 579.88
-8.78x + -0.69y + -4.19z <= 960.19
-7.52x + -4.47y + 5.67z <= 812.31
9.94x + 3.55y + 7.23z <= 265.43
3.19x + -9.28y + -3.8z <= 471.39
8.66x + -3.07y + -6.74z <= 954.31
4.83x + -9.33y + 2.67z <= 920.02
8.98x + 6.86y + -1.55z <= 337.88
2.68x + -5.91y + 4.53z <= 510.76
-0.39x + -5.91y + 0.19z <= 426.14
-6.88x + 4.27y + 0.33z <= 701.42
-0.31x + 4.43y + 9.65z <= 115.85
4.21x + -4.13y + 3.83z <= 803.73
-5.58x + 4.74y + 6.59z <= 400.09
8.07x + 2.94y + -1.62z <= 252.24
-5.9x + 8.28y + -4.59z <= 292.94
-8.21x + -7.26y + 1.12z <= 534.85
0.02x + -2.79y + 3.26z <= 938.78
6.74x + 4.26y + 5.33z <= 910.24
5.99x + -5.6y + 3.06z <= 260.81
-3.36x + -9.72y + -0.06z <= 917.55
0.62x + 4.33y + -9.99z <= 473.68
5.77x + -4.45y + -8.37z <= 791.44
-5.35x + -3.95y + -2.17z <= 328.19
1.7x + 7.37y + -7.61z <= 102.05
-5.84x + -2.13y + -8.72z <= 235.71
-4.32x + 9.04y + -4.48z <= 470.44
-5.59x + -0.95y + 6.38z <= 203.94
-0.28x + 3.11y + -4.5z <= 867.5
1.75x + 2.38y + -10.0z <= 519.9
5.97x + -8.71y + -6.6z <= 343.4
-6.91x + 0.27y + -6.18z <= 854.11
-6.12x + -5.89y + 1.77z <= 193.73
-2.04x + -6.61y + -2.37z <= 227.89
0.93x + -9.82y + -6.22z <= 863.84
9.98x + 6.2y + 2.12z <= 159.37
-9.16x + 0.37y + -9.35z <= 499.2
-4.21x + -8.16y + -5.44z <= 676.02
-4.0x + 8.34y + -7.48z <= 268.09
-4.58x + -3.34y + 5.27z <= 164.32
-5.39x + 1.2y + -7.94z <= 363.69
9.07x + 4.27y + 5.53z <= 616.77
3.87x + 6.94y + -8.7z <= 113.29
-2.35x + 6.41y + -7.0z <= 715.09
5.91x + -8.5y + -7.76z <= 662.28
6.29x + 8.26y + -5.21z <= 402.96
3.34x + 6.67y + -7.16z <= 550.96
1.93x + -5.47y + -6.96z <= 995.17
-1.48x + -4.32y + 7.19z <= 432.64
7.04x + -9.6y + 9.87z <= 551.85
-2.01x + -8.89y + 2.43z <= 132.37
-1.17x + -2.43y + -5.23z <= 336.24
-5.28x + 5.62y + -1.77z <= 937.41
2.06x + 1.61y + -6.25z <= 531.43
6.15x + 1.99y + 1.72z <= 227.56
-3.67x + 9.07y + -2.2z <= 365.22
2.52x + 3.02y + -4.68z <= 422.24
2.41x + -6.87y + -2.57z <= 711.16
4.98x + 3.16y + 9.6z <= 312.33
-4.77x + 2.98y + 3.78z <= 382.15
-7.68x + 2.05y + 4.53z <= 427.93
5.95x + 5.55y + 7.72z <= 769.32
7.58x + 8.88y + -7.15z <= 925.51
9.42x + 8.58y + 8.32z <= 458.32
-2.79x + -8.0y + 1.15z <= 879.14
-9.36x + -5.86y + -5.46z <= 774.35
7.59x + 5.05y + 0.41z <= 475.36
-9.17x + -8.38y + -5.47z <= 275.64
-1.9x + -0.66y + -7.84z <= 911.17
-7.41x + -0.41y + 2.95z <= 615.19
-2.93x + 2.1y + -9.51z <= 538.35
2.75x + 9.69y + -6.25z <= 338.43
-1.6x + -7.31y + 1.42z <= 860.47
0.42x + 9.08y + 9.53z <= 757.36
-7.51x + 1.45y + 3.86z <= 521.34
-6.64x + -7.15y + 9.33z <= 566.0
-2.98x + 3.55y + 6.03z <= 255.58
6.46x + -9.69y + -9.99z <= 828.16
3.24x + -0.02y + 2.6z <= 934.31
-4.98x + -3.78y + 3.96z <= 570.87
-0.18x + -6.26y + 7.15z <= 931.29
-6.43x + 9.79y + -4.23z <= 682.25
-1.78x + -0.51y + 6.86z <= 566.94
-4.0x + -9.37y + -7.19z <= 481.2
5.36x + -9.57y + 5.67z <= 335.26
-3.73x + -9.62y + 7.52z <= 663.46
6.2x + -5.36y + -8.63z <= 164.15
-4.61x + 3.77y + 7.81z <= 796.04
5.71x + 1.79y + 4.09z <= 820.32
-6.86x + 7.51y + 5.06z <= 873.02
-5.85x + -3.71y + 3.45z <= 253.25
9.95x + 4.11y + 9.89z <= 301.97
-6.79x + 0.29y + -4.68z <= 156.06
-2.77x + 1.5y + 3.58z <= 660.02
-7.79x + 5.15y + -4.12z <= 331.86
1.63x + -9.11y + 4.77z <= 911.98
-4.99x + 6.06y + 5.71z <= 562.13
-6.14x + -4.19y + -1.26z <= 351.69
0.08x + -3.65y + 1.33z <= 438.53
6.2x + 7.35y + 4.21z <= 257.1
4.54x + -6.24y + -1.0z <= 538.32
4.23x + -7.88y + 1.0z <= 804.53
-8.08x + 8.99y + -9.82z <= 340.65
2.42x + -1.15y + -8.9z <= 592.51
8.92x + 8.39y + 6.64z <= 354.64
-9.23x + 0.49y + -5.32z <= 168.1
-8.65x + 6.69y + -6.2z <= 627.69
-5.24x + -5.45y + -1.61z <= 676.41
5.76x + -5.48y + 4.93z <= 408.86
4.19x + 1.97y + -3.85z <= 397.26
-8.93x + -7.3y + 2.75z <= 604.89
-3.34x + 4.73y + -1.73z <= 915.88
-0.49x + 8.79y + 0.61z <= 767.69
-8.68x + -7.87y + -9.86z <= 870.49
2.69x + 9.65y + -5.14z <= 611.25
6.8x + 2.68y + -1.2z <= 101.41
-4.07x + -0.5y + 0.86z <= 571.93
9.46x + -8.21y + 2.09z <= 261.1
9.04x + -8.27y + 0.44z <= 268.43
-5.41x + 8.39y + -4.99z <= 247.15
-9.11x + 8.71y + -0.25z <= 671.11
2.16x + -8.56y + -4.33z <= 863.83
4.29x + -3.27y + -5.33z <= 190.29
-4.28x + -3.28y + 9.32z <= 121.26
-3.09x + 1.07y + 1.21z <= 894.95
-4.85x + 5.06y + -5.3z <= 587.76
8.07x + 9.46y + 8.2z <= 173.54
-8.11x + 5.25y + -6.91z <= 560.29
-2.8x + -5.67y + 3.23z <= 449.93
-6.03x + 9.85y + -3.43z <= 105.72
9.55x + 6.1y + -8.66z <= 793.18
5.92x + -8.59y + -9.69z <= 894.86
-6.59x + -3.7y + -6.38z <= 663.41
3.58x + 4.44y + 1.41z <= 206.78
7.57x + -8.22y + 8.92z <= 997.64
-3.3x + -7.27y + -4.25z <= 689.26
-4.23x + 6.85y + 0.96z <= 694.76
-7.89x + 9.07y + 1.09z <= 966.38
3.88x + 5.73y + -5.84z <= 811.73
9.14x + 8.05y + 9.72z <= 197.34
8.1x + 2.16y + -1.03z <= 762.98
-5.05x + -3.45y + -8.69z <= 717.8
-6.38x + 1.15y + -6.06z <= 959.36
4.97x + -0.76y + -0.36z <= 215.21
-2.49x + -5.16y + 3.5z <= 168.87
-2.54x + 4.05y + -3.43z <= 920.72
-5.6x + 9.33y + 7.42z <= 204.85
-7.15x + 8.08y + -9.82z <= 895.71
-5.73x + -4.19y + -6.26z <= 814.02
5.74x + -6.96y + 9.63z <= 384.69
-0.34x + 1.28y + -8.9z <= 890.45
1.17x + 3.85y + 6.66z <= 998.6
-4.97x + 8.26y + -5.13z <= 897.99
6.84x + 7.67y + -6.49z <= 542.02
1.72x + 3.81y + -4.59z <= 865.7
-9.03x + -3.72y + 8.84z <= 816.31
-7.95x + 5.42y + -3.17z <= 544.24
-8.66x + -1.41y + -8.14z <= 283.6
-8.62x + 7.07y + -9.37z <= 554.43
2.31x + -2.61y + 9.52z <= 298.46
5.14x + -6.89y + -7.21z <= 498.85
-6.72x + -1.73y + -5.62z <= 930.82
6.31x + -5.23y + 7.08z <= 693.39
-4.95x + -0.05y + -6.93z <= 418.27
1.94x + -1.83y + -3.32z <= 538.66
6.71x + -7.22y + 3.76z <= 490.05
-5.65x + -1.16y + 7.82z <= 435.16
8.7x + -0.43y + -0.8z <= 747.71
1.41x + 6.55y + -1.73z <= 920.16
9.14x + 7.57y + 1.93z <= 662.93
5.89x + 6.73y + -5.57z <= 743.32
-3.53x + 8.03y + 0.8z <= 274.2
8.24x + 1.01y + -7.92z <= 624.63
0.6x + 1.22y + 7.15z <= 797.81
-1.66x + -8.69y + -2.12z <= 613.96
6.24x + -4.34y + 3.93z <= 798.4
-8.05x + 1.32y + 9.8z <= 755.61
-7.37x + 5.54y + 1.58z <= 559.2
-9.07x + -7.84y + -9.65z <= 603.37
0.48x + -6.23y + 0.97z <= 185.0
4.3x + -1.76y + -2.14z <= 267.08
-0.25x + -6.8y + -3.7z <= 762.4
7.83x + 6.01y + 8.7z <= 280.85
3.46x + -3.86y + -0.76z <= 115.94
9.35x + 2.38y + -1.69z <= 751.58
6.4x + -6.32y + 1.49z <= 463.7
-8.03x + -3.11y + -8.74z <= 280.78
-7.19x + -5.98y + -0.53z <= 848.55
-8.31x + -5.73y + -4.44z <= 234.78
-2.37x + 2.72y + -5.47z <= 516.64
9.51x + 7.02y + 3.96z <= 718.92
6.44x + -2.14y + 5.58z <= 845.25
0.68x + 4.89y + -5.02z <= 905.38
-1.75x + -2.49y + -1.9z <= 823.67
-3.02x + 1.7y + -9.25z <= 456.36
9.47x + 3.81y + -7.84z <= 625.01
-4.89x + -7.9y + -8.56z <= 518.33
4.86x + 3.77y + -0.13z <= 981.54
-7.05x + -7.21y + 9.43z <= 983.14
-1.8x + -2.1y + -3.78z <= 851.99
-6.57x + -3.23y + 1.26z <= 969.13
-5.16x + -2.62y + -9.09z <= 321.1
-0.89x + -1.87y + -9.24z <= 485.26
-2.17x + -8.18y + -5.04z <= 876.07
-1.85x + 9.8y + 5.47z <= 702.87
2.05x + 8.83y + 5.08z <= 383.64
-7.4x + -1.27y + 1.73z <= 813.79
3.42x + -4.25y + -9.28z <= 220.57
-5.78x + 6.66y + 4.29z <= 813.14
-5.35x + 7.08y + 9.36z <= 557.88
-2.31x + 7.75y + 2.33z <= 894.24
-8.34x + -2.77y + -7.7z <= 820.92
-5.64x + 1.32y + 5.65z <= 153.6
-3.0x + -8.52y + -2.26z <= 846.39
-4.37x + 5.25y + 3.07z <= 991.76
7.54x + -6.54y + -7.67z <= 752.74
-4.88x + 2.61y + -3.62z <= 332.52
-7.1x + -0.85y + 2.14z <= 338.97
4.41x + 4.9y + -0.01z <= 542.51
-9.85x + 9.67y + -0.38z <= 339.36
1.86x + 1.62y + 5.76z <= 139.77
7.97x + -8.93y + 4.42z <= 231.13
4.16x + 9.12y + -9.01z <= 615.57
-2.06x + -5.35y + 1.54z <= 415.1
-9.3x + 2.54y + -6.57z <= 453.15
-4.36x + -0.13y + 8.92z <= 986.38
6.89x + 4.88y + -2.86z <= 858.72
5.53x + -3.39y + 3.78z <= 500.82
-2.58x + -2.4y + -8.8z <= 387.41
-4.38x + 9.34y + 9.19z <= 709.2
3.57x + -3.21y + 3.92z <= 391.21
-4.55x + 9.95y + 1.63z <= 450.72
9.46x + -5.52y + -1.17z <= 212.78
-2.35x + -0.88y + 7.46z <= 856.4
-5.18x + -6.8y + -7.43z <= 508.4
-0.93x + 7.39y + 5.1z <= 241.46
2.78x + -2.81y + 9.09z <= 780.98
2.36x + -6.04y + 4.45z <= 678.89
-7.18x + -7.32y + -0.86z <= 808.86
8.01x + -0.05y + 8.27z <= 544.52
-9.25x + -2.35y + 6.22z <= 691.23
-6.37x + -2.73y + -9.1z <= 483.41
-2.97x + -4.32y + -6.73z <= 754.94
6.63x + -8.79y + 4.39z <= 186.78
6.68x + -1.96y + -6.43z <= 914.56
-0.55x + 3.06y + 8.34z <= 534.19
7.28x + -5.84y + 1.09z <= 383.69
-9.56x + 9.91y + 2.87z <= 827.34
5.43x + -8.61y + -3.67z <= 944.89
7.86x + -5.06y + 4.32z <= 383.95
9.24x + -4.81y + 3.25z <= 227.35
3.96x + 7.97y + 9.19z <= 575.14
7.69x + -9.57y + 6.04z <= 581.66
8.36x + 2.0y + -0.15z <= 141.62
-7.57x + 2.87y + 4.73z <= 485.43
-4.79x + -9.67y + -0.05z <= 842.24
4.51x + -6.97y + -3.71z <= 537.03
-0.07x + 4.52y + 7.25z <= 226.73
-4.91x + 9.68y + -2.54z <= 874.5
6.61x + 6.48y + 1.22z <= 223.92
-8.33x + -2.79y + -4.14z <= 418.89
8.6x + -5.64y + -3.98z <= 276.74
0.75x + -4.83y + 8.41z <= 961.94
-0.42x + 1.67y + -9.36z <= 271.83
-7.15x + 7.15y + -8.94z <= 409.8
-3.74x + 5.77y + -7.8z <= 498.1
-1.48x + -4.12y + 2.55z <= 434.3
7.58x + 7.11y + -2.54z <= 202.71
-7.58x + -1.94y + 1.41z <= 938.98
-0.8x + 4.35y + 8.64z <= 740.14
-9.01x + -3.3y + -9.32z <= 895.01
4.37x + -9.85y + -9.62z <= 643.01
1.78x + 5.64y + 0.89z <= 841.63
4.9x + -9.59y + -7.41z <= 274.68
-9.25x + -0.94y + -2.78z <= 147.02
-9.38x + 9.99y + 0.3z <= 675.84
6.3x + 9.59y + 8.48z <= 403.38
6.05x + 1.81y + -9.01z <= 479.64
9.91x + -5.89y + 2.0z <= 520.63
4.43x + -5.79y + -7.75z <= 642.47
9.59x + 7.74y + 8.56z <= 685.33
4.72x + -9.41y + 7.65z <= 482.11
-9.64x + 8.9y + -3.24z <= 852.87
2.38x + 3.4y + -0.88z <= 842.47
5.5x + 7.67y + 8.75z <= 283.27
-7.49x + 5.33y + 7.79z <= 265.78
4.99x + 9.91y + 8.36z <= 430.73
-3.92x + -0.13y + -7.51z <= 297.95
-0.77x + -5.29y + -0.98z <= 662.08
-5.67x + 8.76y + 8.59z <= 353.54
5.57x + 3.51y + 1.56z <= 357.44
6.95x + -0.65y + -0.59z <= 992.45
-8.32x + 8.11y + -4.03z <= 222.32
-9.44x + -8.63y + 1.24z <= 981.61
-7.38x + -6.33y + 3.77z <= 614.29
2.95x + -8.99y + 6.5z <= 363.07
-8.35x + -8.84y + 6.95z <= 393.94
-6.52x + -8.75y + -3.68z <= 287.69
-4.7x + -1.41y + 9.81z <= 729.94
-4.43x + -8.96y + -3.9z <= 723.29
-9.75x + -8.68y + -2.8z <= 512.42
7.15x + -1.84y + 8.73z <= 363.35
-8.31x + -4.64y + -2.81z <= 232.62
-5.85x + -2.32y + -3.4z <= 574.86
-8.1x + -8.59y + -0.22z <= 992.12
9.55x + 1.78y + -6.31z <= 160.54
0.17x + -3.14y + 0.78z <= 926.75
-0.8x + 9.23y + -6.44z <= 554.19
8.91x + -7.83y + 4.06z <= 428.79
9.47x + 1.63y + -6.78z <= 821.84
8.33x + -8.8y + 8.26z <= 676.11
1.94x + 8.53y + -8.86z <= 836.18
9.05x + 1.47y + -8.5z <= 963.73
-3.81x + 9.87y + 8.43z <= 269.88
-8.51x + -3.58y + 6.56z <= 397.01
8.16x + 4.37y + 8.03z <= 281.21
1.74x + -0.11y + 5.09z <= 948.03
5.01x + 5.49y + 4.82z <= 807.35
-2.99x + 0.07y + -7.69z <= 886.21
-5.29x + -6.22y + 7.74z <= 380.81
-9.85x + -2.62y + -4.82z <= 192.14
-7.47x + -1.01y + 7.85z <= 291.7
1.19x + 9.14y + 5.47z <= 138.93
9.95x + 0.06y + 8.89z <= 320.39
2.67x + -6.74y + 3.26z <= 638.78
-2.02x + 8.4y + -6.98z <= 255.58
0.22x + -8.63y + 4.29z <= 861.72
-8.37x + 2.32y + -8.06z <= 733.34
2.44x + -9.56y + -3.57z <= 555.4
-9.23x + 9.0y + 2.51z <= 638.74
-2.24x + -9.95y + -10.0z <= 284.97
9.28x + 7.78y + -1.01z <= 855.41
8.21x + 5.37y + 1.19z <= 597.48
0.76x + 8.14y + 4.97z <= 942.8
6.96x + 0.47y + 8.73z <= 454.07
5.49x + 7.8y + -9.63z <= 363.59
-9.29x + -0.93y + 9.17z <= 327.25
0.34x + -2.42y + 3.3z <= 129.84
-5.41x + -6.47y + 3.52z <= 458.83
3.17x + -8.04y + -0.04z <= 574.55
7.02x + -6.36y + -6.73z <= 422.82
-3.61x + -4.39y + 8.36z <= 176.9
5.6x + 0.5y + -2.11z <= 593.55
-1.31x + -0.68y + -6.42z <= 944.92
-8.27x + -0.87y + 3.14z <= 710.18
-4.55x + 2.14y + -5.5z <= 768.39
4.57x + -4.27y + 0.69z <= 388.11
-4.48x + 8.82y + 5.09z <= 342.79
9.86x + 0.03y + 1.29z <= 356.47
-5.12x + 9.84y + 0.86z <= 518.85
1.73x + 1.2y + -8.27z <= 666.21
2.88x + -7.43y + -4.5z <= 908.65
8.12x + -9.83y + 9.59z <= 478.56
-4.62x + 5.56y + 2.99z <= 424.4
7.06x + -7.54y + -9.71z <= 587.68
0.72x + 4.31y + 0.68z <= 776.6
-4.58x + -0.58y + -0.37z <= 603.38
-2.68x + 4.08y + 6.37z <= 281.83
8.66x + 1.97y + 5.05z <= 619.59
-5.58x + 9.71y + -5.72z <= 228.72
-2.96x + -8.18y + -3.6z <= 943.09
6.27x + -3.45y + -1.8z <= 800.31
4.02x + -7.86y + 2.27z <= 989.89
-3.84x + -6.24y + -5.98z <= 716.7
-4.41x + -8.8y + -1.11z <= 395.73
5.3x + -3.33y + -9.36z <= 549.21
-2.74x + 5.31y + -5.82z <= 616.01
-0.53x + -8.44y + 2.88z <= 606.64
-2.81x + -1.95y + 2.97z <= 650.87
4.28x + 5.99y + -4.47z <= 847.84
-2.05x + 3.41y + -3.53z <= 343.37
4.52x + -1.83y + 6.72z <= 135.53
6.71x + 2.68y + 7.59z <= 234.2
6.21x + 9.31y + 9.88z <= 166.72
-4.58x + -1.34y + -0.37z <= 455.63
-8.04x + -4.82y + 0.69z <= 168.6
4.33x + -7.97y + -4.9z <= 738.49
-4.37x + 5.76y + 0.3z <= 894.22
3.97x + 4.71y + 8.66z <= 525.47
-0.97x + 7.68y + -6.61z <= 958.59
-5.85x + 2.24y + 1.45z <= 205.24
9.73x + 5.72y + 3.56z <= 747.7
-8.42x + 4.39y + 1.85z <= 301.24
-8.71x + 7.86y + 6.84z <= 498.97
-0.15x + 3.28y + 7.43z <= 159.09
-9.46x + -3.5y + -8.21z <= 866.06
-9.36x + 0.63y + 5.76z <= 104.8
-8.8x + 9.11y + 2.44z <= 496.4
8.02x + -0.93y + -0.62z <= 602.61
4.76x + -6.03y + -9.57z <= 570.36
9.02x + -2.11y + -5.83z <= 603.37
7.31x + -1.73y + -2.25z <= 339.33
-2.36x + 0.54y + -9.43z <= 163.88
-1.28x + 9.82y + 6.51z <= 955.41
-2.16x + 1.93y + 6.92z <= 651.22
8.37x + -4.58y + -6.4z <= 904.98
-1.54x + 8.6y + -5.55z <= 583.36
4.31x + 8.72y + 7.16z <= 450.85
3.39x + -5.83y + -3.01z <= 105.94
-5.73x + -3.96y + -9.81z <= 199.84
2.15x + 9.69y + 7.78z <= 496.86
-9.83x + -8.35y + 4.32z <= 371.43
2.88x + -3.05y + -8.31z <= 243.72
-6.71x + -2.61y + 3.35z <= 497.48
7.95x + 5.34y + -3.05z <= 915.04
8.94x + -3.58y + 9.44z <= 478.94
1.63x + -3.4y + 5.32z <= 124.18
-0.92x + -0.45y + -1.66z <= 909.49
-3.05x + -8.68y + 5.07z <= 884.97
-9.13x + 4.53y + 4.49z <= 703.83
3.08x + 0.27y + 3.34z <= 729.92
7.15x + -4.18y + -5.38z <= 620.27
6.7x + 5.34y + -9.95z <= 149.03
5.25x + -6.32y + -7.55z <= 648.54
-8.82x + 9.65y + -1.74z <= 262.9
2.3x + 7.24y + -2.26z <= 835.31
2.26x + 9.45y + 7.44z <= 943.81
0.8x + 7.71y + 6.03z <= 571.76
2.58x + 1.43y + -1.1z <= 128.35
7.45x + -4.26y + -5.88z <= 935.24
4.99x + 9.46y + 6.29z <= 761.14
3.6x + -0.31y + -4.24z <= 300.15
1.99x + -8.04y + -10.0z <= 750.0
-1.76x + -2.55y + -8.38z <= 643.2
2.79x + 2.13y + 1.19z <= 823.16
-5.11x + 2.55y + 5.44z <= 922.89
9.14x + 4.47y + 6.52z <= 917.64
-4.74x + 1.74y + -9.78z <= 384.11
-1.91x + 5.75y + 3.57z <= 591.15
1.53x + -1.29y + -7.93z <= 745.55
-9.14x + -0.58y + 7.03z <= 982.0
-1.46x + -5.45y + -7.67z <= 896.86
-1.8x + 5.32y + 0.69z <= 236.52
0.24x + 0.67y + 5.56z <= 279.23
0.47x + -7.71y + -1.44z <= 309.24
7.48x + 7.17y + 2.11z <= 854.53
-4.78x + 4.59y + -9.56z <= 348.87
-3.91x + -2.13y + 7.43z <= 272.67
6.4x + -4.2y + -9.99z <= 242.96
5.01x + 9.58y + 9.65z <= 772.12
-6.37x + -2.34y + 4.53z <= 394.66
-8.62x + 0.3y + 9.34z <= 878.27
-6.15x + 1.31y + 5.03z <= 265.08
2.75x + 5.9y + 1.66z <= 641.68
-2.5x + -4.7y + -2.62z <= 122.89
-8.62x + 3.26y + -6.52z <= 265.5
-1.79x + 6.18y + 2.0z <= 892.6
7.22x + -9.86y + 1.9z <= 441.93
-0.43x + 5.73y + 9.07z <= 208.97
2.69x + 5.09y + -3.01z <= 728.09
5.32x + -6.12y + -9.69z <= 674.97
-6.93x + -0.14y + 5.23z <= 678.22
-0.63x + -9.56y + -9.21z <= 973.61
-7.42x + 0.85y + -2.69z <= 910.84
-8.65x + -7.43y + -4.35z <= 159.92
4.29x + 2.11y + 7.8z <= 167.08
2.74x + -9.54y + 9.45z <= 288.86
-5.99x + -3.98y + -7.75z <= 292.97
5.74x + 8.98y + 2.34z <= 673.78
3.69x + -8.44y + 3.33z <= 383.06
0.44x + 2.28y + -8.84z <= 211.54
-9.67x + 1.61y + 6.49z <= 738.67
9.21x + 6.06y + -8.76z <= 439.61
-6.37x + 7.32y + -5.67z <= 744.16
2.43x + -0.4y + -3.67z <= 195.33
-7.4x + -5.09y + 3.29z <= 727.78
-3.57x + -9.16y + -2.98z <= 415.03
-2.33x + -7.63y + 2.8z <= 967.99
1.76x + -6.89y + 7.08z <= 850.61
-4.96x + -0.78y + 4.43z <= 332.75
8.39x + 3.46y + 6.75z <= 284.36
5.25x + 6.19y + 3.25z <= 358.19
-7.87x + -2.11y + 3.39z <= 395.16
8.11x + 9.54y + -9.19z <= 731.24
-3.1x + 5.64y + -7.25z <= 906.76
0.99x + -8.71y + -2.21z <= 177.8
-2.59x + -3.51y + 4.9z <= 823.77
1.05x + -4.19y + 6.53z <= 478.2
-2.6x + 5.41y + 6.67z <= 340.9
-1.71x + -1.81y + 9.22z <= 193.71
6.25x + -3.78y + -7.69z <= 547.81
3.44x + -1.88y + -4.87z <= 732.85
3.89x + -6.44y + 7.82z <= 645.53
4.36x + 6.86y + -1.98z <= 458.16
-0.25x + 8.21y + 9.23z <= 308.64
8.6x + 4.22y + 4.84z <= 609.18
3.5x + -9.8y + -3.94z <= 782.76
-6.16x + 3.36y + 8.91z <= 721.55
-8.88x + 9.08y + 9.81z <= 996.71
-4.65x + -9.7y + -7.11z <= 872.21
7.98x + 0.9y + 0.46z <= 222.22
-8.28x + 8.98y + -3.58z <= 245.96
7.5x + 4.64y + 9.48z <= 298.86
-2.07x + 7.52y + -4.59z <= 504.9
-9.25x + -9.7y + -2.26z <= 948.67
-4.29x + 1.11y + -1.27z <= 537.91
4.99x + 2.25y + -8.25z <= 221.12
8.74x + 4.34y + 1.06z <= 903.61
-8.2x + -6.27y + -0.24z <= 729.29
8.43x + 2.47y + 7.74z <= 296.4
3.05x + -8.41y + -1.73z <= 781.7
-6.02x + -7.37y + -6.34z <= 442.07
2.82x + -2.1y + -3.89z <= 720.07
-7.15x + -0.31y + -0.07z <= 302.5
8.85x + 1.04y + -8.83z <= 307.17
4.26x + 0.38y + -8.0z <= 959.55
-0.45x + 2.71y + -9.8z <= 277.98
7.6x + -7.75y + 0.08z <= 700.12
-9.75x + 8.08y + -5.05z <= 841.16
1.72x + 1.19y + -1.23z <= 219.06
0.08x + 2.89y + -2.75z <= 242.33
7.02x + 5.56y + -8.92z <= 674.0
-5.0x + 1.09y + 1.4z <= 854.82
-7.88x + -7.59y + 2.58z <= 871.66
-1.37x + -1.37y + -6.36z <= 701.9
-9.48x + -6.91y + -0.2z <= 383.06
0.93x + 5.06y + 8.36z <= 945.27
-0.49x + 4.45y + 9.21z <= 759.25
7.1x + -1.29y + -0.07z <= 910.89
4.21x + 0.66y + 7.04z <= 247.24
1.23x + 6.49y + -1.6z <= 941.19
-6.2x + 6.92y + -9.41z <= 322.99
-8.48x + 4.86y + 3.85z <= 585.56
3.41x + -8.29y + -2.62z <= 272.32
7.65x + 1.12y + -5.24z <= 749.82
-1.52x + -3.22y + -5.86z <= 555.79
0.5x + -3.44y + 6.18z <= 472.68
-8.55x + 1.63y + 8.03z <= 351.88
-8.1x + 8.87y + -6.36z <= 356.05
7.05x + 7.67y + -0.95z <= 648.99
4.15x + -0.01y + 5.05z <= 214.09
4.73x + 8.08y + -6.28z <= 365.16
6.05x + -7.1y + 5.4z <= 222.87
-5.67x + -9.49y + -0.62z <= 989.78
4.2x + 7.9y + -1.87z <= 845.68
2.16x + -1.31y + 0.16z <= 525.35
-0.86x + 8.45y + -3.28z <= 161.94
7.2x + 1.16y + -7.98z <= 710.45
1.75x + 3.1y + -0.28z <= 430.81
-8.29x + 4.17y + -9.07z <= 912.71
-5.14x + -9.74y + -1.37z <= 102.82
-7.12x + -9.72y + 3.58z <= 461.89
-9.49x + 0.33y + -9.33z <= 395.05
3.56x + 1.51y + 6.1z <= 223.08
7.01x + 5.1y + 8.75z <= 391.53
8.11x + -8.81y + 1.42z <= 204.17
2.95x + 4.95y + -0.4z <= 276.12
-7.82x + -5.17y + -5.99z <= 105.92
3.99x + 6.29y + -9.74z <= 501.49
-3.96x + -1.09y + -2.36z <= 203.74
5.82x + 3.46y + -5.91z <= 890.43
4.23x + 0.1y + -9.71z <= 478.64
-6.52x + -0.34y + -1.43z <= 242.86
-0.05x + -5.69y + -1.83z <= 747.5
-3.51x + -5.82y + -6.02z <= 646.65
-5.53x + 1.56y + -0.58z <= 536.87
-5.54x + -3.88y + 3.76z <= 739.64
-1.6x + -0.66y + -4.07z <= 781.62
0.2x + -1.57y + 4.95z <= 705.85
-2.68x + -3.43y + 5.61z <= 899.52
-3.78x + -7.86y + 3.18z <= 614.03
3.99x + 8.74y + -7.42z <= 656.81
2.2x + 6.53y + -8.32z <= 714.03
6.62x + 6.21y + -1.08z <= 213.24
3.52x + -3.01y + -9.61z <= 809.78
2.58x + 5.78y + -6.74z <= 889.36
-9.75x + 1.17y + -7.61z <= 674.55
-2.62x + 1.64y + 7.18z <= 730.18
4.44x + -6.38y + 4.33z <= 854.74
-2.62x + 9.55y + -7.39z <= 885.64
5.44x + 7.17y + -8.63z <= 968.33
-6.08x + 0.34y + -4.72z <= 411.46
6.48x + -8.52y + -8.38z <= 101.1
4.76x + 0.41y + -6.25z <= 741.5
-1.19x + 2.87y + -3.95z <= 794.8
8.51x + -2.69y + -2.69z <= 623.21
4.45x + -6.89y + -6.21z <= 931.46
-4.46x + 3.28y + 7.78z <= 443.23
6.86x + -8.37y + -4.28z <= 613.17
-8.44x + -6.12y + 6.12z <= 590.89
