max -3.89x + 5.62y + 2.47z
-0.65x + -8.36y + -5.89z <= 113.37
-9.03x + 2.3y + -7.53z <= 935.61
-8.52x + 7.85y + 7.9z <= 872.47
-8.82x + 9.7y + -0.21z <= 992.51
0.79x + 6.09y + -9.33z <= 356.21
-1.53x + -2.54y + -3.59z <= 669.84
1.78x + 2.29y + -0.57z <= 418.02
-4.05x + 3.31y + 3.62z <= 183.7
-0.85x + 0.33y + 4.29z <= 194.25
4.61x + 8.9y + 2.09z <= 112.5
-8.85x + -1.08y + -4.41z <= 945.38
1.49x + 5.25y + -6.56z <= 621.8
1.12x + 7.71y + 1.14z <= 470.6
-2.1x + 3.51y + -4.35z <= 962.99
6.96x + 6.74y + -5.86z <= 853.68
-1.74x + -7.27y + -0.72z <= 689.32
-6.32x + -2.25y + 7.04z <= 712.32
-6.36x + 9.67y + -3.41z <= 629.24
9.5x + -1.26y + -9.95z <= 653.34
4.77x + 8.35y + 3.25z <= 300.83
-7.64x + -3.67y + -4.96z <= 789.32
0.3x + 1.03y + 0.01z <= 612.98
-1.87x + 2.15y + 0.8z <= 531.37
1.5x + 0.2y + -5.75z <= 429.97
4.81x + 5.64y + -4.15z <= 100.65
-9.54x + -1.63y + -2.01z <= 668.82
6.31x + 5.08y + -7.86z <= 320.58
8.53x + -3.01y + 7.67z <= 406.11
5.68x + -8.97y + -2.82z <= 782.29
5.86x + 6.89y + -7.55z <= 132.69
5.91x + 8.93y + 1.26z <= 983.05
0.28x + 0.1y + -8.36z <= 913.3
4.31x + 3.56y + 1.23z <= 784.99
6.67x + 8.62y + 4.12z <= 201.32
0.75x + 5.29y + -3.71z <= 816.67
-9.8x + 1.77y + -8.87z <= 638.34
8.08x + 0.78y + -9.18z <= 852.78
-4.31x + 7.74y + 6.56z <= 134.79
3.94x + 3.12y + 0.04z <= 101.33
3.29x + -6.15y + 6.26z <= 473.79
1.28x + 3.95y + 1.77z <= 558.79
2.54x + 5.0y + -7.73z <= 673.13
-9.83x + 2.0y + -1.23z <= 671.97
2.46x + -9.63y + -3.2z <= 716.57
-2.81x + -7.9y + 6.43z <= 343.47
-1.46x + 7.79y + -5.68z <= 667.67
5.87x + 7.45y + 1.69z <= 876.67
-1.19x + -3.21y + 0.5z <= 512.74
3.73x + 9.41y + -4.1z <= 179.53
4.38x + 5.16y + 0.06z <= 470.12
-5.09x + 0.72y + 2.52z <= 594.77
-3.17x + 3.29y + -5.9z <= 227.35
-2.68x + -5.86y + 3.73z <= 322.71
8.38x + -2.73y + 0.29z <= 210.53
-2.36x + -9.29y + -1.2z <= 300.4
3.34x + -2.52y + -3.55z <= 559.39
5.61x + -0.72y + 6.8z <= 602.0
7.07x + -8.0y + 8.24z <= 517.22
6.15x + 6.48y + -9.99z <= 589.59
-8.92x + -8.8y + 7.24z <= 277.91
0.87x + -8.56y + -4.09z <= 319.58
6.94x + 6.0y + 9.17z <= 370.61
-1.1x + -8.37y + 1.95z <= 864.23
-2.49x + -3.54y + 2.39z <= 272.41
-8.21x + 2.96y + -6.59z <= 311.46
6.94x + -6.75y + 2.32z <= 352.95
5.28x + -3.02y + 0.69z <= 797.54
3.24x + -5.66y + 5.75z <= 478.26
3.86x + 2.21y + -5.63z <= 685.76
-6.1x + -0.87y + 6.14z <= 874.87
0.82x + 4.88y + 0.23z <= 422.29
-4.26x + -0.14y + -2.98z <= 144.67
-1.66x + -0.36y + 3.41z <= 826.2
8.04x + 9.21y + -8.0z <= 520.48
0.77x + 7.33y + 5.59z <= 156.73
8.44x + -1.92y + 0.73z <= 456.21
2.02x + 5.49y + -3.74z <= 949.31
-9.35x + -4.78y + 7.23z <= 137.47
6.38x + -8.61y + 3.7z <= 249.06
8.87x + -2.47y + -7.82z <= 865.34
-2.05x + 5.32y + -2.55z <= 349.67
1.28x + 7.14y + -9.0z <= 761.38
-4.13x + 8.58y + 6.41z <= 159.28
-6.71x + -4.36y + -6.44z <= 724.95
9.97x + -6.02y + -7.68z <= 389.37
-4.4x + 1.05y + 9.27z <= 495.98
-5.94x + -7.99y + -7.59z <= 690.89
5.76x + -5.99y + 6.82z <= 968.7
-3.21x + 3.43y + 3.96z <= 157.51
6.17x + -5.29y + 6.07z <= 351.02
-5.93x + 4.04y + 2.74z <= 872.08
-2.89x + -6.37y + -6.42z <= 179.17
-5.84x + -4.95y + 6.06z <= 585.46
5.7x + -1.06y + -4.32z <= 395.89
0.26x + -6.65y + -6.88z <= 871.92
0.78x + -6.27y + -4.76z <= 780.79
6.67x + 5.01y + -5.95z <= 958.66
0.51x + -3.04y + -4.42z <= 985.62
-1.1x + -6.73y + -7.97z <= 770.83
2.11x + 9.16y + -6.83z <= 975.75
5.06x + -5.56y + -9.53z <= 827.62
1.67x + -7.29y + -9.37z <= 630.64
-4.62x + 6.41y + 3.51z <= 665.0
7.79x + 4.57y + -4.83z <= 488.59
1.39x + -8.84y + 7.1z <= 968.55
-1.38x + -8.95y + 5.26z <= 373.71
4.61x + -5.1y + 8.34z <= 224.68
-9.2x + -0.22y + 0.01z <= 590.42
0.73x + -5.58y + -0.18z <= 924.24
-3.36x + 2.85y + -7.61z <= 622.8
-7.64x + 7.13y + -1.34z <= 792.84
8.62x + 1.62y + 4.86z <= 532.43
-9.33x + -1.52y + -2.17z <= 840.34
-4.96x + 0.94y + 3.51z <= 151.85
-9.92x + -0.04y + 3.61z <= 869.1
-6.46x + -6.51y + 6.65z <= 865.17
-7.61x + 6.9y + -5.26z <= 531.25
-0.67x + 6.71y + -1.83z <= 455.2
1.69x + 7.24y + 2.14z <= 864.31
5.82x + -6.24y + -6.72z <= 503.96
-7.12x + 3.77y + 9.84z <= 768.25
-6.01x + 6.3y + 4.54z <= 689.23
5.13x + 2.85y + 4.41z <= 940.7
-9.58x + 3.47y + -8.67z <= 218.85
-0.94x + 6.82y + 3.81z <= 827.85
5.91x + -4.8y + 6.02z <= 505.73
-5.18x + -4.32y + -4.48z <= 571.83
5.96x + 1.06y + 2.25z <= 598.13
-2.03x + -2.12y + -5.03z <= 988.31
4.03x + 4.95y + -6.42z <= 413.88
-9.34x + -1.41y + 0.36z <= 607.95
1.15x + 3.08y + 5.69z <= 705.96
4.44x + -4.03y + 2.2z <= 463.35
-5.19x + -8.17y + -4.64z <= 318.31
4.38x + -4.69y + 1.71z <= 996.61
4.89x + 4.48y + 1.25z <= 714.77
5.84x + 1.86y + -2.61z <= 508.64
4.52x + -9.1y + -9.02z <= 478.94
9.83x + -1.58y + -5.0z <= 506.27
9.84x + 6.32y + 4.02z <= 744.48
-8.05x + -6.56y + -0.93z <= 237.56
4.61x + 7.25y + -5.84z <= 686.41
7.79x + 4.87y + 8.28z <= 898.39
2.99x + -8.87y + 6.17z <= 774.84
-8.61x + -7.9y + -8.96z <= 708.86
8.79x + -0.15y + -5.68z <= 842.26
2.35x + 0.01y + 9.29z <= 340.92
9.93x + 4.45y + 8.38z <= 913.07
0.02x + -7.42y + -6.07z <= 818.58
-1.8x + 4.18y + -9.02z <= 750.08
-4.53x + -2.19y + -6.63z <= 876.95
-0.86x + 3.56y + -4.48z <= 860.63
-1.68x + -8.86y + -5.04z <= 963.45
-3.24x + -0.01y + 2.48z <= 755.21
8.2x + -4.86y + -8.2z <= 584.35
-3.6x + -6.28y + -8.39z <= 169.07
3.19x + 9.22y + 9.17z <= 957.44
-1.54x + -2.83y + 3.57z <= 527.07
0.43x + 9.11y + -6.23z <= 939.6
7.6x + -8.95y + 4.91z <= 210.11
8.14x + 3.5y + 2.3z <= 548.51
-5.2x + 3.7y + 8.6z <= 997.1
-1.51x + 1.44y + -9.4z <= 913.93
-1.02x + -4.56y + -2.75z <= 800.81
-7.09x + -0.63y + -6.26z <= 416.28
-4.58x + 5.68y + -2.88z <= 743.46
5.65x + -4.34y + 4.58z <= 716.41
-7.27x + 3.52y + -8.43z <= 901.0
0.66x + 3.12y + 3.08z <= 794.88
-7.51x + 5.21y + 4.52z <= 901.51
-8.27x + 9.95y + 3.7z <= 684.31
-7.53x + 0.6y + -7.23z <= 389.41
-5.86x + -7.13y + -0.08z <= 640.62
-0.09x + 7.69y + 7.94z <= 826.87
-8.75x + 7.62y + 4.38z <= 793.0
1.59x + 9.33y + -9.52z <= 619.41
-3.3x + -6.94y + 1.28z <= 474.51
-5.23x + -2.11y + -3.11z <= 350.86
2.42x + 0.51y + 5.12z <= 665.12
-5.61x + -7.11y + -2.43z <= 898.5
-9.29x + 1.9y + -2.91z <= 907.89
6.57x + -2.49y + -8.88z <= 742.19
9.12x + 4.19y + 1.53z <= 404.55
5.12x + 3.56y + 8.04z <= 682.22
8.73x + -6.36y + 0.27z <= 628.29
2.66x + 4.36y + -8.51z <= 581.44
-1.4x + 6.66y + 4.12z <= 436.65
-4.21x + 6.81y + 5.5z <= 214.38
1.06x + 6.28y + -6.04z <= 528.33
9.48x + -3.11y + 4.08z <= 790.53
7.19x + -7.45y + 3.48z <= 693.97
0.34x + -2.31y + -3.37z <= 488.48
7.64x + 4.05y + -0.82z <= 722.52
-6.59x + 7.71y + 5.74z <= 266.19
6.33x + -5.28y + 0.06z <= 680.93
3.24x + -1.18y + 1.57z <= 778.38
-8.9x + -6.19y + 2.21z <= 248.08
0.94x + -4.89y + 7.92z <= 554.93
-2.11x + -0.96y + -2.08z <= 229.74
-2.98x + -6.74y + -8.37z <= 597.17
-3.92x + 1.66y + -6.71z <= 865.45
2.47x + 8.47y + -8.25z <= 551.04
-0.17x + 1.82y + 2.84z <= 489.79
3.48x + -2.19y + 6.55z <= 634.85
2.8x + -9.88y + -9.55z <= 978.89
0.58x + 2.67y + -1.46z <= 700.64
8.77x + -8.66y + -6.84z <= 917.28
-4.06x + -5.72y + -0.35z <= 812.75
-9.16x + 6.37y + 4.35z <= 521.85
9.78x + 4.61y + -4.69z <= 348.76
0.09x + 5.42y + 5.66z <= 808.03
5.05x + -8.31y + 8.86z <= 756.85
-6.23x + -5.51y + -5.9z <= 397.9
-8.17x + 3.32y + -4.63z <= 716.46
0.13x + -5.58y + -6.96z <= 571.39
-3.66x + 8.03y + -5.52z <= 868.93
4.14x + 6.15y + -9.38z <= 932.42
2.85x + -4.62y + -2.82z <= 939.23
4.87x + -2.73y + -2.45z <= 745.1
-2.64x + -6.75y + -1.92z <= 287.29
4.08x + -9.18y + -8.75z <= 647.16
-7.15x + -7.06y + -5.64z <= 535.54
-5.56x + 8.61y + 0.42z <= 231.13
4.89x + 4.98y + -1.33z <= 629.39
-7.27x + -9.55y + 3.77z <= 149.8
4.55x + -3.65y + 6.19z <= 645.01
4.15x + -2.51y + -1.39z <= 153.19
1.56x + 2.02y + 0.88z <= 364.54
-4.27x + -3.71y + 7.18z <= 143.66
-0.75x + -2.98y + 7.53z <= 884.96
-0.22x + -9.68y + 6.72z <= 507.01
-3.92x + 2.33y + 4.04z <= 271.56
4.41x + -2.29y + -3.07z <= 254.22
4.67x + -1.18y + -2.81z <= 234.33
7.62x + -1.83y + -2.1z <= 735.57
-9.09x + 2.9y + 0.53z <= 674.16
-5.64x + 6.44y + -7.48z <= 580.35
-3.62x + -0.2y + -8.27z <= 633.75
9.82x + -6.97y + -0.16z <= 743.43
4.12x + 2.53y + -7.76z <= 947.07
-6.88x + -3.59y + -6.15z <= 736.56
4.13x + -7.66y + 0.46z <= 755.5
2.39x + -6.56y + 6.91z <= 176.61
5.29x + 3.47y + -3.0z <= 302.83
7.31x + 3.38y + -8.41z <= 951.91
0.73x + -0.59y + -1.46z <= 537.26
-4.11x + 6.76y + 8.11z <= 383.7
-2.73x + -4.05y + 1.37z <= 826.29
6.17x + -3.09y + 4.37z <= 928.71
-2.31x + 4.81y + 6.15z <= 120.85
-6.16x + 0.17y + 2.86z <= 474.13
-5.93x + 2.32y + -7.52z <= 701.36
2.44x + -4.24y + 7.67z <= 481.3
-3.94x + 6.53y + 2.82z <= 556.4
-4.21x + -0.79y + -8.58z <= 656.52
9.54x + -1.12y + -5.11z <= 315.11
8.99x + 5.69y + -1.51z <= 720.64
-3.27x + 2.96y + 3.23z <= 213.44
-3.18x + 1.36y + -8.06z <= 653.88
4.19x + -0.38y + 5.94z <= 874.39
3.77x + -8.03y + 7.36z <= 226.35
-8.7x + -6.62y + 3.45z <= 666.18
-5.26x + 9.17y + -9.04z <= 779.09
1.95x + -4.56y + 9.42z <= 790.06
-3.1x + 3.2y + -7.29z <= 288.35
8.24x + 6.38y + -0.34z <= 529.32
-0.36x + 1.13y + 0.07z <= 984.41
-7.76x + 3.22y + 9.15z <= 265.54
2.15x + -2.04y + 4.72z <= 748.05
0.56x + -6.43y + -4.8z <= 959.69
-6.7x + -2.91y + -8.56z <= 946.8
-5.8x + -2.4y + -5.15z <= 924.3
-4.09x + 2.65y + -3.54z <= 476.04
-3.51x + -0.51y + 8.5z <= 319.61
-2.32x + -0.61y + 6.03z <= 526.04
4.3x + -0.07y + 6.76z <= 632.36
-4.93x + 1.58y + 2.4z <= 911.93
-4.66x + -8.5y + 5.23z <= 811.5
0.84x + -4.58y + -8.63z <= 509.73
-5.88x + -0.38y + 2.02z <= 810.04
4.71x + -3.01y + 9.21z <= 592.97
-2.63x + 6.47y + 5.29z <= 103.68
3.94x + -2.78y + -1.26z <= 205.91
-1.07x + -6.03y + -6.36z <= 571.63
-9.64x + 9.75y + 8.67z <= 421.45
-2.05x + -3.39y + -3.33z <= 118.07
-7.02x + -3.89y + 8.39z <= 800.17
-2.13x + -5.34y + -2.73z <= 249.4
6.49x + 4.87y + -9.3z <= 413.14
-3.02x + -4.74y + 3.31z <= 241.91
3.18x + -0.93y + 1.87z <= 420.44
3.16x + 9.81y + 6.47z <= 198.46
2.01x + -7.56y + -3.02z <= 192.57
6.0x + -2.13y + 3.61z <= 672.12
-1.57x + -1.4y + 0.38z <= 145.76
-3.05x + 1.54y + 6.63z <= 631.88
-9.31x + 3.39y + 4.34z <= 714.49
5.93x + 9.79y + -4.67z <= 613.49
8.48x + 4.68y + 2.42z <= 119.11
-6.32x + 6.94y + -9.23z <= 800.65
9.27x + -5.18y + 8.41z <= 151.94
-9.57x + -7.18y + -3.63z <= 494.72
-0.02x + 5.37y + 0.2z <= 564.57
3.11x + -6.88y + 3.02z <= 566.51
-2.35x + -9.68y + -3.78z <= 663.16
5.09x + 8.08y + 9.33z <= 799.03
8.69x + 7.28y + 1.62z <= 770.62
1.88x + 9.05y + 5.69z <= 854.88
-1.04x + -4.73y + 6.18z <= 473.0
8.12x + -3.02y + -6.25z <= 118.36
6.61x + -6.73y + -5.59z <= 438.86
9.13x + -6.84y + 1.45z <= 844.33
-0.37x + 9.45y + 7.49z <= 432.25
5.16x + 8.59y + -9.19z <= 572.31
3.24x + -5.85y + 7.9z <= 198.68
-4.3x + 1.89y + -6.99z <= 904.32
-5.71x + 6.91y + -7.0z <= 298.72
-3.27x + -2.25y + -6.74z <= 317.91
-9.43x + 5.99y + 3.16z <= 543.69
1.38x + 0.13y + 5.77z <= 563.59
-9.92x + -1.44y + 9.87z <= 922.24
4.36x + 8.06y + -9.84z <= 441.79
-1.7x + 3.77y + 9.1z <= 272.0
-8.64x + -8.93y + 0.17z <= 466.9
-5.79x + -7.83y + -6.3z <= 977.03
6.92x + 2.92y + -1.64z <= 871.87
7.97x + -5.21y + -3.28z <= 159.75
0.94x + -8.67y + -0.75z <= 245.22
2.0x + 6.48y + -5.42z <= 244.59
5.54x + -0.66y + 1.8z <= 265.01
-6.62x + -6.14y + 6.36z <= 178.12
-3.25x + 8.61y + 1.74z <= 828.29
-8.5x + -9.14y + -9.19z <= 322.67
6.14x + 9.07y + 8.99z <= 179.63
-6.2x + -3.72y + 7.03z <= 758.75
4.57x + 6.07y + -9.8z <= 376.58
-7.52x + 5.41y + 4.74z <= 193.38
3.26x + 0.88y + -1.64z <= 450.7
1.07x + -4.15y + 7.34z <= 266.25
7.65x + -0.65y + 7.31z <= 567.17
-4.1x + 7.25y + -0.19z <= 993.34
6.85x + 8.44y + 5.85z <= 468.92
3.95x + -3.22y + -3.35z <= 627.05
-6.99x + 6.76y + -1.85z <= 823.8
-9.01x + -8.98y + 3.97z <= 129.36
-6.45x + 9.54y + -2.33z <= 208.12
-4.89x + -9.75y + -0.91z <= 144.61
-9.0x + 7.96y + -5.92z <= 681.79
-1.97x + 3.26y + -2.31z <= 364.91
2.02x + 6.35y + -5.32z <= 654.52
3.96x + -0.8y + -2.92z <= 537.53
1.73x + 7.65y + -5.94z <= 923.17
-5.7x + 6.26y + 0.69z <= 740.95
4.02x + -1.41y + 0.7z <= 515.61
5.33x + -2.05y + 9.14z <= 456.67
-9.54x + 7.3y + -0.6z <= 353.32
0.96x + 0.92y + 0.04z <= 742.14
-9.64x + 6.9y + -0.3z <= 257.97
-8.58x + 6.65y + 0.87z <= 526.24
-6.45x + -8.27y + 9.84z <= 768.54
6.19x + 6.97y + 3.09z <= 328.87
-4.86x + -0.06y + -4.54z <= 835.44
-3.96x + 9.84y + -9.05z <= 316.86
5.11x + -5.89y + 4.79z <= 555.03
-6.72x + 5.45y + -5.31z <= 551.71
-6.04x + -8.69y + 3.95z <= 976.63
7.45x + -1.44y + 6.29z <= 857.41
-9.14x + 7.47y + -2.17z <= 913.22
-5.12x + 5.51y + 4.6z <= 606.85
-5.92x + 9.14y + -8.93z <= 820.16
6.19x + 7.97y + -5.92z <= 258.84
0.49x + 6.03y + -0.19z <= 983.01
-7.0x + -2.7y + -9.55z <= 431.38
-9.97x + -2.25y + -8.98z <= 631.2
5.1x + -9.67y + 3.96z <= 973.5
-9.8x + -8.99y + -6.12z <= 283.42
-9.98x + 2.31y + -1.76z <= 233.58
-7.32x + -3.28y + 3.78z <= 467.68
-4.2x + -6.63y + 4.68z <= 563.56
-5.98x + 7.24y + 6.91z <= 586.62
-3.94x + -2.09y + 0.07z <= 924.77
0.89x + -1.69y + -6.3z <= 923.07
-4.7x + 9.86y + -1.31z <= 608.63
4.44x + -5.84y + -2.27z <= 156.05
-6.69x + 6.85y + 6.57z <= 336.41
-3.88x + 3.25y + -0.04z <= 817.05
5.63x + -8.78y + -1.4z <= 897.61
0.34x + 5.57y + -3.52z <= 298.93
9.86x + -4.52y + 9.77z <= 193.32
-4.0x + -1.64y + -8.66z <= 131.08
1.27x + 2.32y + -7.66z <= 416.52
1.17x + 4.0y + 4.25z <= 522.63
-3.23x + -6.97y + -9.48z <= 361.25
-3.56x + -2.1y + -5.26z <= 108.63
1.93x + 8.63y + 6.83z <= 261.85
6.65x + 4.16y + -8.61z <= 506.33
9.9x + -6.64y + -8.87z <= 880.31
6.47x + 9.53y + -6.92z <= 442.01
7.02x + 0.26y + -9.48z <= 868.46
-6.43x + -9.33y + 9.5z <= 606.56
5.25x + 2.92y + 6.37z <= 683.72
2.94x + -1.35y + -2.76z <= 498.08
-2.85x + -2.15y + -1.77z <= 918.84
5.95x + -4.25y + 6.65z <= 653.17
3.96x + -4.56y + 3.99z <= 210.64
8.09x + -5.16y + -2.46z <= 844.61
-1.54x + -9.73y + -0.53z <= 518.4
-4.07x + -3.05y + -7.88z <= 917.37
2.91x + -7.08y + -8.13z <= 722.27
-1.88x + -9.73y + -4.21z <= 859.45
2.14x + -5.78y + 3.64z <= 121.69
-4.81x + 6.41y + 8.08z <= 534.72
-1.68x + 4.82y + 7.83z <= 212.14
-1.01x + -7.44y + 8.72z <= 455.08
-6.64x + 0.32y + -5.15z <= 172.84
9.05x + -7.79y + 0.82z <= 618.63
1.23x + 4.04y + -8.49z <= 238.26
-3.02x + -1.17y + 6.68z <= 378.39
-7.97x + -8.28y + -4.56z <= 317.1
-3.46x + -4.91y + 7.38z <= 433.6
-4.35x + 7.79y + 6.69z <= 865.72
0.09x + 2.7y + -5.97z <= 121.0
-1.27x + 2.83y + 5.14z <= 259.05
8.18x + -0.78y + 2.05z <= 373.18
-3.74x + -0.3y + -7.26z <= 609.73
5.13x + 4.96y + -2.4z <= 132.36
-2.59x + -4.45y + 8.53z <= 205.77
-9.56x + -7.08y + -1.2z <= 717.61
-1.51x + -5.86y + 3.75z <= 555.0
-6.12x + -5.85y + 2.68z <= 956.83
5.36x + -6.92y + 6.32z <= 953.34
-9.26x + -0.83y + -0.17z <= 974.7
0.02x + 0.81y + 7.2z <= 969.64
-6.55x + 8.06y + 1.14z <= 594.78
7.17x + 0.31y + 8.45z <= 657.21
-0.4x + -7.84y + 4.27z <= 104.39
-7.83x + 9.12y + -1.87z <= 232.5
-1.73x + 8.93y + 7.57z <= 505.64
3.85x + 2.61y + -0.2z <= 393.37
-0.32x + -7.12y + -5.45z <= 157.43
3.95x + -3.2y + 2.33z <= 361.81
4.33x + 9.67y + -3.61z <= 792.25
7.22x + -1.24y + -7.82z <= 824.6
7.63x + 8.52y + 3.62z <= 975.88
7.06x + 2.02y + -5.87z <= 876.52
7.79x + -1.52y + 9.73z <= 875.54
1.18x + -8.34y + -5.12z <= 412.31
-3.78x + -8.35y + 8.38z <= 317.31
-8.94x + -4.5y + 0.3z <= 551.28
-9.15x + -8.8y + -2.32z <= 866.63
3.43x + -0.39y + 9.84z <= 920.04
4.92x + -0.61y + -4.39z <= 561.84
8.32x + 6.95y + -8.49z <= 768.39
6.45x + 4.31y + -1.32z <= 305.94
-9.77x + 1.56y + -1.66z <= 513.11
3.25x + -3.17y + -5.08z <= 915.25
-1.36x + -4.65y + 2.7z <= 606.38
7.07x + 8.46y + -2.27z <= 736.22
8.23x + -0.79y + -0.27z <= 755.16
-8.0x + -9.23y + 2.22z <= 392.44
8.26x + -6.29y + 6.39z <= 442.33
6.19x + 9.62y + -1.4z <= 787.17
-3.53x + -7.63y + 8.48z <= 832.22
-4.2x + 3.14y + 5.42z <= 274.46
1.74x + 9.64y + -8.92z <= 809.22
-5.68x + 9.85y + 4.74z <= 708.14
-0.73x + 3.07y + -0.78z <= 275.36
-1.53x + 3.36y + -9.27z <= 183.81
-3.72x + -9.58y + 2.65z <= 125.7
7.12x + -3.17y + -9.41z <= 429.64
-3.13x + -3.45y + -4.71z <= 251.9
-0.11x + 2.78y + 2.02z <= 787.26
-0.42x + 5.3y + 7.28z <= 997.62
-0.38x + -5.37y + -6.75z <= 280.05
9.04x + -8.81y + -9.41z <= 749.27
-4.38x + -6.59y + -7.93z <= 852.57
-7.31x + -3.01y + 9.3z <= 368.1
3.31x + -3.7y + -6.66z <= 952.15
-9.35x + 8.56y + -1.52z <= 592.79
1.91x + -2.9y + 0.36z <= 719.8
5.54x + 7.9y + -5.48z <= 204.74
0.95x + 8.32y + 9.4z <= 253.38
8.65x + 3.74y + -2.73z <= 658.64
-0.14x + -7.57y + 5.1z <= 558.44
-5.55x + 0.86y + -9.92z <= 642.73
4.46x + 5.53y + 9.38z <= 894.28
-1.58x + -6.17y + -3.11z <= 910.32
-7.38x + -3.28y + 1.22z <= 324.23
-0.83x + 4.7y + -9.6z <= 398.93
-3.92x + -1.5y + -6.3z <= 882.12
-6.31x + -4.3y + 6.36z <= 327.4
-6.2x + 1.51y + -1.74z <= 649.89
2.7x + -5.35y + 2.96z <= 265.59
8.6x + -5.66y + 7.16z <= 395.37
1.72x + 2.0y + -2.15z <= 320.48
-2.01x + -9.88y + -6.77z <= 763.11
5.96x + 0.06y + -8.45z <= 859.65
4.96x + 9.97y + -6.33z <= 695.39
2.29x + 8.93y + 0.29z <= 617.26
-7.04x + 5.17y + 3.79z <= 591.35
2.98x + 7.52y + -4.43z <= 982.97
2.42x + 7.77y + 1.03z <= 361.02
-0.43x + 0.28y + -5.34z <= 724.49
8.15x + 8.47y + 7.59z <= 427.36
0.39x + -6.65y + 7.14z <= 426.96
-9.66x + -2.92y + -5.75z <= 490.52
3.1x + -0.6y + -4.88z <= 381.51
-7.0x + -0.2y + 9.43z <= 244.35
4.57x + -2.25y + 4.09z <= 144.14
9.07x + 7.69y + -1.94z <= 770.58
-8.23x + 9.67y + -2.07z <= 632.45
-7.58x + 5.68y + -8.62z <= 847.75
-7.88x + -6.14y + 4.61z <= 936.96
-4.53x + 6.58y + -2.33z <= 373.98
8.3x + 8.57y + -8.08z <= 864.95
7.43x + -4.48y + -7.55z <= 955.73
6.86x + 2.0y + -1.05z <= 143.78
0.91x + 4.31y + 7.72z <= 841.35
-9.94x + 8.75y + -7.55z <= 697.72
-8.57x + 1.97y + -1.34z <= 950.64
-6.2x + 5.49y + 8.78z <= 823.15
-8.73x + 4.56y + 1.6z <= 671.71
2.58x + 5.9y + -9.07z <= 208.1
3.92x + 6.78y + 9.6z <= 995.79
7.3x + -7.36y + 1.54z <= 696.48
-6.62x + -2.0y + -6.91z <= 378.49
9.37x + -1.8y + -6.12z <= 890.84
6.15x + -2.28y + -3.3z <= 362.25
9.81x + -4.31y + -1.48z <= 569.21
2.65x + 0.25y + 7.19z <= 394.75
-1.82x + 2.05y + -2.29z <= 272.42
3.25x + -7.14y + -8.13z <= 974.13
-1.27x + -6.96y + 1.79z <= 669.88
-2.4x + -6.48y + 8.0z <= 483.76
5.36x + 7.17y + -8.12z <= 808.64
-4.99x + 4.97y + 6.71z <= 778.27
-9.88x + 8.17y + 5.43z <= 704.02
3.94x + 2.35y + 4.28z <= 152.51
8.42x + 3.14y + -9.06z <= 592.13
-1.12x + -3.45y + -5.16z <= 811.0
-8.57x + 4.18y + 3.37z <= 842.62
-2.6x + 2.42y + -9.51z <= 690.16
-8.79x + 0.12y + 2.54z <= 598.57
4.1x + -0.33y + 7.99z <= 428.41
-2.49x + -3.59y + -3.23z <= 868.42
5.46x + 3.61y + 9.71z <= 868.06
4.89x + 0.51y + -2.6z <= 282.43
-4.62x + -7.34y + -5.0z <= 441.37
0.41x + -1.62y + -4.72z <= 937.34
9.32x + 5.55y + -1.05z <= 905.77
6.06x + -3.81y + 9.23z <= 208.46
-7.87x + 8.23y + 2.67z <= 669.13
2.92x + -1.0y + 0.17z <= 877.04
-9.4x + 0.81y + -2.14z <= 519.66
-4.06x + 1.76y + 0.21z <= 733.78
-4.22x + 2.14y + -4.16z <= 155.87
1.09x + -6.19y + -3.54z <= 898.9
-1.16x + -7.0y + -8.79z <= 180.82
2.53x + -4.85y + 2.94z <= 502.2
2.21x + 2.72y + 9.8z <= 612.84
-1.28x + -8.94y + -3.36z <= 216.16
-8.95x + 2.08y + 7.78z <= 306.07
-5.97x + 1.06y + 0.21z <= 956.95
1.15x + -9.7y + 4.86z <= 429.99
1.84x + 1.2y + 0.57z <= 268.76
8.06x + 1.9y + -0.53z <= 785.37
1.95x + -4.62y + -4.33z <= 982.57
-5.53x + -3.11y + 0.78z <= 928.24
-8.59x + 9.51y + 2.86z <= 697.57
3.74x + -1.16y + -1.28z <= 459.57
-4.15x + 4.55y + 2.59z <= 278.6
0.45x + 7.45y + -3.31z <= 813.54
-5.01x + 4.69y + -8.37z <= 735.54
-3.65x + -9.94y + -7.7z <= 162.89
-7.56x + 4.43y + -4.1z <= 203.94
8.66x + 2.53y + 8.7z <= 505.25
-3.32x + 1.81y + 2.07z <= 411.34
-7.87x + 8.13y + -3.7z <= 541.44
7.39x + 1.11y + 4.96z <= 686.64
-8.36x + 0.15y + 3.91z <= 683.18
-2.6x + 0.83y + -1.05z <= 255.19
-6.77x + 7.2y + -2.03z <= 805.51
2.98x + -7.18y + -5.31z <= 852.95
9.68x + 8.56y + -0.14z <= 134.4
6.47x + -0.46y + 5.51z <= 135.36
-1.25x + 3.99y + 4.98z <= 371.18
-5.6x + -5.51y + -7.34z <= 701.4
7.23x + -6.64y + 4.66z <= 526.49
-5.7x + -3.06y + -2.06z <= 215.07
2.11x + -7.9y + -9.36z <= 564.89
-6.93x + -9.96y + 2.47z <= 372.06
-2.96x + 5.95y + -7.87z <= 272.22
2.09x + 5.97y + -6.03z <= 144.01
-6.13x + -1.09y + -8.18z <= 450.96
