max 9.47x + 1.74y + -4.7z
7.63x + -1.86y + -9.7z <= 618.31
-5.43x + -0.1y + -8.81z <= 820.95
9.57x + 4.56y + -1.49z <= 200.02
7.89x + -4.42y + -1.92z <= 360.25
-3.27x + 1.6y + -8.72z <= 971.95
3.95x + -9.89y + 8.3z <= 674.53
-8.22x + -4.74y + 0.51z <= 877.27
6.73x + 3.46y + 5.36z <= 470.58
1.03x + -3.73y + 1.28z <= 450.45
-1.29x + -2.59y + -2.98z <= 938.1
0.3x + 2.87y + -5.16z <= 656.37
-1.45x + 3.89y + -5.74z <= 234.21
-3.67x + 5.2y + -2.18z <= 160.37
7.65x + -2.83y + 4.1z <= 460.99
6.23x + -2.33y + -1.54z <= 323.03
-9.1x + -2.49y + -6.83z <= 967.42
-3.24x + 2.7y + 3.25z <= 397.61
-4.41x + 5.23y + 6.63z <= 548.31
-9.51x + 6.39y + 2.52z <= 728.07
4.87x + 4.38y + -0.85z <= 499.37
2.74x + -2.31y + 8.01z <= 963.1
6.12x + 9.8y + 0.24z <= 842.9
3.72x + -7.11y + 3.91z <= 579.25
-3.46x + -8.0y + 0.37z <= 397.47
-7.68x + -6.41y + 3.19z <= 612.11
7.21x + -3.7y + 2.16z <= 788.46
9.28x + -1.25y + -8.46z <= 445.01
-3.72x + -3.29y + 5.59z <= 867.97
-3.6x + -2.79y + -1.68z <= 229.53
9.65x + -4.85y + 3.76z <= 672.04
-5.6x + 8.41y + 9.23z <= 849.43
4.97x + 6.22y + -5.94z <= 319.32
5.59x + -1.86y + -6.16z <= 961.46
6.51x + -2.1y + -0.26z <= 236.96
-8.48x + -8.16y + -3.08z <= 167.23
-6.55x + 7.68y + 7.04z <= 810.39
3.69x + -8.35y + 6.69z <= 514.86
6.83x + -4.0y + -9.72z <= 470.15
-1.37x + 2.48y + -7.07z <= 391.55
4.97x + -6.08y + -7.09z <= 161.49
-7.14x + 6.48y + -2.39z <= 355.92
7.1x + 6.02y + 9.76z <= 241.28
-0.32x + -2.96y + 0.03z <= 739.27
0.62x + -5.38y + -3.47z <= 126.24
3.92x + -9.73y + -6.44z <= 774.17
6.13x + 0.68y + -4.15z <= 644.32
-6.03x + -8.44y + 1.88z <= 882.99
6.88x + -7.5y + -3.39z <= 507.53
-7.17x + 5.82y + -2.7z <= 269.68
2.51x + 3.03y + 2.49z <= 975.52
8.74x + -5.2y + -3.19z <= 797.19
4.36x + 3.36y + 4.66z <= 308.02
0.93x + -4.56y + 5.83z <= 654.32
-6.9x + -5.64y + -0.27z <= 330.15
-5.58x + 1.59y + -1.83z <= 981.11
5.68x + 8.87y + 8.74z <= 423.23
-1.14x + 8.74y + 4.26z <= 878.34
-5.19x + 1.24y + -1.22z <= 662.03
8.4x + -3.22y + -8.28z <= 277.34
0.55x + -7.13y + 5.02z <= 642.63
4.52x + -2.33y + -6.87z <= 488.97
7.83x + -4.84y + 1.08z <= 761.34
2.5x + 3.57y + -6.09z <= 976.24
-1.71x + 7.51y + 4.8z <= 626.9
0.51x + -5.5y + 0.2z <= 424.38
2.89x + 6.36y + -2.99z <= 222.64
-2.43x + 7.33y + 7.33z <= 901.96
-8.7x + 8.79y + -7.33z <= 834.05
2.31x + 5.77y + 7.57z <= 855.47
-4.22x + 9.92y + 1.76z <= 104.67
2.09x + -7.84y + 0.64z <= 117.25
-0.99x + 5.32y + -9.88z <= 645.75
-7.3x + -4.56y + -4.37z <= 979.15
8.45x + -1.76y + -6.55z <= 889.19
4.08x + 0.97y + 9.85z <= 231.0
0.18x + 0.19y + 4.34z <= 912.98
0.37x + -6.77y + 5.53z <= 688.44
-8.11x + -0.77y + 0.47z <= 554.49
-7.89x + -0.4y + -9.42z <= 873.96
-1.11x + -4.11y + 1.55z <= 177.63
1.8x + -2.77y + 5.29z <= 703.3
8.71x + -7.3y + -6.57z <= 342.13
4.6x + 6.65y + -5.74z <= 694.28
-6.02x + 2.87y + 8.79z <= 930.48
-2.17x + -5.95y + -7.55z <= 805.51
-4.97x + 1.97y + -6.56z <= 601.67
-0.52x + 8.29y + 5.33z <= 893.7
2.29x + 6.1y + -5.9z <= 838.99
8.55x + 6.04y + 9.71z <= 897.21
-0.39x + -1.75y + 1.98z <= 302.86
7.58x + -5.46y + -4.32z <= 701.23
4.89x + 4.6y + -0.19z <= 357.4
-0.44x + -7.68y + -7.33z <= 520.0
-6.57x + 6.44y + -8.72z <= 612.28
7.92x + -2.93y + -4.94z <= 551.71
-4.97x + -0.55y + -9.65z <= 703.96
8.06x + 7.99y + 8.45z <= 289.31
-3.86x + 7.36y + -0.9z <= 671.17
-6.98x + 3.67y + 1.33z <= 931.48
-4.55x + -3.44y + -6.98z <= 684.13
-6.23x + -3.31y + 1.13z <= 548.37
-9.88x + -1.56y + 6.83z <= 930.93
-8.52x + -9.0y + 5.3z <= 133.0
6.11x + -1.92y + 1.54z <= 895.2
1.1x + -1.3y + -1.47z <= 575.76
-4.95x + 2.4y + -2.91z <= 399.45
-1.22x + -5.17y + 8.39z <= 536.36
-7.35x + 7.27y + 8.05z <= 105.88
-2.61x + -5.82y + 6.08z <= 172.71
-7.96x + -4.19y + -1.87z <= 881.17
3.63x + 9.42y + 6.24z <= 868.12
-9.2x + -3.01y + 6.85z <= 170.92
8.1x + 4.87y + 8.88z <= 480.91
1.97x + 6.39y + 2.21z <= 869.24
5.66x + -6.04y + -5.36z <= 431.89
-6.5x + 8.71y + -2.69z <= 939.08
-8.46x + 2.58y + 7.46z <= 792.95
9.37x + 8.23y + 3.82z <= 254.38
-4.8x + 0.57y + -0.2z <= 945.23
7.94x + 7.22y + -1.21z <= 231.19
6.74x + -0.42y + 4.52z <= 329.27
9.88x + 1.18y + -3.76z <= 666.77
1.01x + 2.05y + -5.74z <= 419.65
9.98x + -6.46y + 0.2z <= 945.31
-5.66x + 8.91y + 1.51z <= 658.27
1.61x + 4.13y + -2.85z <= 640.83
-6.4x + -2.68y + 7.85z <= 912.64
6.59x + -7.75y + -2.93z <= 669.93
-3.22x + -5.4y + 4.33z <= 366.93
5.41x + -8.27y + -2.14z <= 295.7
-7.87x + 5.92y + -5.98z <= 771.12
-4.62x + 6.6y + 9.74z <= 324.83
-6.06x + -8.21y + -1.52z <= 597.01
-4.51x + 4.41y + -4.28z <= 387.78
-9.26x + 7.45y + -1.83z <= 867.88
-6.31x + -9.3y + -8.79z <= 239.69
-9.67x + 4.27y + -6.44z <= 803.53
2.54x + 5.46y + -8.07z <= 449.57
-5.39x + 5.13y + -9.11z <= 313.18
-5.17x + -0.3y + -7.97z <= 158.76
2.69x + -6.0y + -6.04z <= 558.46
8.45x + -3.77y + -1.04z <= 630.44
1.5x + 7.57y + -4.83z <= 380.72
-6.63x + -0.74y + -7.33z <= 780.79
-9.93x + 7.8y + 3.48z <= 666.63
-9.97x + -3.47y + -3.98z <= 426.85
0.27x + -9.33y + 6.78z <= 795.55
6.38x + 8.44y + 3.21z <= 743.23
5.66x + 9.98y + -1.54z <= 390.22
-3.1x + 6.86y + -5.48z <= 325.52
1.37x + -2.43y + 9.82z <= 534.11
-1.9x + -4.51y + -2.18z <= 528.45
5.15x + 0.3y + 4.24z <= 941.07
0.18x + 1.89y + -8.98z <= 479.74
3.5x + -0.69y + -7.22z <= 546.04
-6.45x + 8.47y + 0.27z <= 191.7
0.98x + -1.09y + -6.66z <= 652.92
5.76x + 4.27y + -1.67z <= 311.75
-0.06x + -9.13y + 7.56z <= 453.5
5.14x + -1.86y + -2.59z <= 431.42
5.52x + -6.39y + -8.09z <= 583.04
6.27x + 0.59y + 8.72z <= 569.85
7.48x + 3.83y + -3.46z <= 976.05
4.02x + 1.81y + -0.83z <= 762.36
-0.08x + 0.36y + -0.71z <= 949.57
8.23x + -1.81y + -5.46z <= 975.49
0.26x + -8.2y + -2.92z <= 298.83
0.85x + -1.4y + 6.84z <= 620.79
0.06x + -7.29y + 6.44z <= 689.5
-1.51x + -1.69y + 0.07z <= 965.03
-7.01x + -7.0y + -6.19z <= 688.25
-2.8x + 0.39y + 4.71z <= 602.29
-5.79x + -1.21y + -2.53z <= 863.28
-5.86x + 7.51y + 1.54z <= 976.1
-0.24x + -2.94y + 3.28z <= 611.9
-4.56x + 1.23y + -7.59z <= 209.04
-3.88x + 4.86y + 1.17z <= 277.86
1.47x + -1.04y + 4.38z <= 473.02
1.11x + -9.53y + -7.01z <= 827.11
-2.51x + 2.88y + -5.01z <= 744.64
7.38x + -0.09y + -6.96z <= 571.07
-0.34x + 8.03y + -6.74z <= 285.66
9.97x + -1.87y + -1.49z <= 702.6
8.6x + 9.62y + 4.84z <= 268.67
-0.5x + 7.8y + -4.63z <= 543.53
8.0x + -3.3y + -1.84z <= 103.23
-4.63x + -7.85y + 1.37z <= 580.43
0.73x + -8.37y + 3.87z <= 366.77
-3.74x + 1.48y + 6.55z <= 956.43
0.96x + -0.79y + -7.08z <= 297.81
7.37x + -2.87y + 6.88z <= 624.78
-1.41x + 6.85y + -4.87z <= 170.49
-4.36x + -9.52y + -6.23z <= 657.65
8.31x + 7.93y + 7.31z <= 979.93
4.66x + 5.01y + -0.13z <= 970.7
-5.74x + 8.86y + -9.59z <= 889.06
3.55x + -9.62y + -7.09z <= 381.68
5.18x + 2.25y + -8.3z <= 745.1
7.55x + -4.66y + -2.22z <= 307.49
-6.4x + 2.95y + 1.34z <= 549.81
-3.35x + -9.02y + -2.0z <= 987.59
5.87x + 0.81y + 0.79z <= 324.94
-7.87x + 9.8y + 8.05z <= 882.48
9.06x + 0.62y + 1.2z <= 818.71
8.7x + -3.03y + -9.57z <= 343.8
9.46x + 9.17y + 8.56z <= 889.2
6.07x + -6.92y + -9.27z <= 854.76
7.41x + 5.13y + -8.45z <= 152.9
-5.38x + -8.9y + 3.12z <= 593.6
0.67x + -0.97y + -9.62z <= 961.56
-6.15x + 2.98y + 8.43z <= 564.85
-7.78x + -4.9y + -9.89z <= 175.97
5.91x + -5.27y + -2.5z <= 927.93
3.14x + 1.87y + -5.1z <= 196.9
5.95x + -9.72y + -7.34z <= 311.43
8.31x + 1.43y + -0.63z <= 342.01
-2.77x + -3.03y + -1.62z <= 829.29
0.77x + 9.57y + -7.08z <= 437.39
3.24x + -4.78y + -6.1z <= 140.65
-2.82x + 1.24y + -7.43z <= 490.52
-6.44x + -1.03y + 4.33z <= 336.47
-4.56x + -1.45y + 1.28z <= 222.19
-7.54x + -9.87y + -5.75z <= 428.17
8.4x + 4.76y + -6.05z <= 892.77
-2.74x + 5.89y + -1.55z <= 470.22
-4.18x + -6.09y + 7.62z <= 892.01
5.78x + 2.97y + -9.46z <= 794.05
2.11x + -3.92y + -2.27z <= 106.47
3.84x + 6.99y + -0.66z <= 383.83
6.07x + 4.79y + 6.13z <= 206.12
-1.9x + -9.15y + -4.49z <= 509.4
7.53x + -3.69y + -4.62z <= 521.7
2.59x + 7.17y + 1.49z <= 610.06
-0.67x + -1.71y + -3.21z <= 103.31
4.25x + 7.73y + 3.61z <= 360.55
7.29x + 9.17y + 9.3z <= 447.42
6.65x + 5.67y + 1.5z <= 425.59
-8.29x + 0.41y + -0.86z <= 738.9
-9.48x + -7.72y + 1.37z <= 248.51
3.56x + -8.13y + -4.04z <= 502.88
-8.35x + 9.78y + -2.63z <= 288.63
0.79x + 2.29y + 0.16z <= 477.82
2.55x + -6.29y + 8.29z <= 856.51
1.03x + 8.38y + -7.48z <= 258.86
-6.55x + 3.53y + -3.38z <= 878.54
8.83x + -5.85y + -0.82z <= 754.95
5.34x + -6.44y + 9.07z <= 871.08
7.58x + -3.15y + -3.16z <= 140.85
0.58x + -6.72y + -5.69z <= 741.01
-8.82x + -7.43y + -1.7z <= 452.45
-7.39x + -9.54y + -3.16z <= 213.32
1.67x + 3.74y + -9.36z <= 785.34
6.01x + 5.39y + -7.1z <= 739.07
-1.75x + 5.06y + -5.43z <= 962.64
-3.96x + -7.46y + 0.58z <= 728.13
-2.97x + 5.18y + -8.18z <= 383.17
2.04x + 0.54y + 6.45z <= 213.41
9.11x + -5.51y + 6.83z <= 494.99
-6.26x + 6.45y + 4.41z <= 395.6
-1.43x + 2.68y + -0.81z <= 653.98
3.21x + -8.53y + 9.9z <= 508.61
7.67x + -7.33y + 0.31z <= 957.27
-5.54x + -5.33y + -8.03z <= 496.62
-8.77x + -5.5y + -6.08z <= 695.1
-8.48x + -6.14y + 1.12z <= 566.79
9.64x + 7.94y + -3.1z <= 761.97
-4.44x + 1.65y + -2.02z <= 145.03
1.86x + 1.95y + -2.41z <= 176.22
8.01x + 8.32y + 8.79z <= 399.35
6.18x + -1.06y + 0.38z <= 186.45
-8.47x + 5.72y + -8.61z <= 491.26
-7.75x + 0.2y + 1.81z <= 578.7
3.8x + 1.82y + -2.85z <= 150.84
1.29x + 8.96y + -2.26z <= 527.17
1.39x + 9.06y + -5.54z <= 483.66
-3.36x + -3.71y + -4.0z <= 331.64
0.02x + -1.31y + 4.21z <= 426.61
8.86x + -4.43y + -7.56z <= 922.68
-9.74x + -3.76y + 8.75z <= 764.76
-5.92x + -0.88y + -4.16z <= 156.91
-0.5x + 5.98y + 5.02z <= 882.19
-1.74x + -3.77y + -2.29z <= 319.62
-0.76x + -4.41y + -5.06z <= 818.3
-5.57x + 2.69y + -7.46z <= 416.59
-7.88x + 8.95y + 4.32z <= 403.42
7.36x + -6.34y + 9.69z <= 423.47
2.82x + -2.98y + 2.38z <= 248.42
9.35x + -4.79y + -7.39z <= 834.12
3.59x + -2.14y + 1.87z <= 240.29
-7.52x + 5.12y + 4.31z <= 513.97
0.06x + 6.82y + -2.11z <= 806.6
1.63x + -1.83y + 5.71z <= 755.23
7.0x + 9.93y + 0.81z <= 528.5
0.57x + -8.29y + -9.52z <= 472.0
-5.53x + -4.7y + -2.32z <= 315.85
6.32x + 0.78y + 7.15z <= 676.8
-0.32x + -2.51y + 9.65z <= 781.99
-5.9x + -8.17y + -4.38z <= 220.25
1.32x + -2.58y + 0.56z <= 532.97
9.56x + 0.56y + 4.44z <= 751.46
-0.63x + 6.54y + -5.75z <= 857.47
8.95x + 3.81y + -2.92z <= 294.56
-3.92x + 7.5y + -1.91z <= 890.01
0.55x + 6.7y + -3.17z <= 717.61
-5.05x + 5.4y + 4.25z <= 846.42
2.89x + -8.2y + -7.96z <= 401.14
9.87x + 5.64y + 6.27z <= 640.23
5.46x + -9.23y + -9.75z <= 700.45
8.12x + -8.78y + -4.21z <= 255.51
-4.63x + 3.92y + -2.59z <= 775.78
6.66x + -6.4y + 9.63z <= 972.47
8.39x + 8.69y + 0.03z <= 756.67
4.23x + -2.79y + 1.95z <= 886.37
-6.11x + 2.05y + 6.84z <= 900.99
6.57x + 5.17y + -8.2z <= 195.66
-1.52x + -0.63y + 2.56z <= 725.48
-0.18x + -5.14y + -6.02z <= 656.24
5.06x + -7.27y + -4.78z <= 644.29
-8.29x + -0.4y + -7.73z <= 779.05
-8.63x + -8.33y + -9.11z <= 456.26
8.31x + 8.02y + -8.69z <= 686.45
-1.75x + -1.78y + 3.63z <= 563.26
-5.77x + -9.87y + -9.19z <= 759.68
-1.79x + 0.75y + -5.87z <= 114.37
-8.16x + -3.64y + -1.04z <= 209.7
-1.84x + -6.32y + -6.19z <= 408.09
-0.67x + -1.66y + -7.47z <= 488.76
0.43x + 6.22y + 2.08z <= 489.38
2.98x + 4.18y + 2.4z <= 326.9
-6.47x + -3.76y + -2.02z <= 929.58
7.99x + 9.12y + 4.11z <= 656.27
5.83x + 0.45y + -8.27z <= 350.32
2.32x + 4.13y + 1.77z <= 406.75
-4.99x + 4.25y + -9.18z <= 375.21
-2.71x + 4.51y + -6.0z <= 564.93
-0.09x + -1.65y + 9.62z <= 128.93
5.48x + -5.02y + 4.04z <= 697.4
5.39x + -0.22y + -6.31z <= 899.55
3.35x + -2.57y + -9.35z <= 656.93
2.55x + 8.78y + 6.05z <= 746.54
9.08x + 0.58y + 6.89z <= 933.96
7.39x + 2.94y + -5.34z <= 754.69
-4.39x + 1.05y + -2.59z <= 143.42
-5.69x + 3.43y + 4.27z <= 820.33
-1.12x + 1.37y + -9.92z <= 236.62
1.34x + 4.85y + -7.17z <= 431.28
-9.5x + -4.41y + 6.57z <= 155.06
7.4x + 3.86y + -3.53z <= 693.28
9.17x + -9.4y + 2.44z <= 224.75
-7.8x + 3.5y + -5.7z <= 478.29
4.03x + 3.16y + 7.75z <= 273.5
5.41x + 6.85y + -7.44z <= 188.29
-5.06x + 7.99y + 6.45z <= 229.54
5.21x + -2.65y + -0.28z <= 160.12
-4.9x + -3.89y + 4.88z <= 231.21
-9.49x + -0.29y + -7.21z <= 525.05
6.4x + 6.6y + 3.39z <= 816.18
-8.97x + -3.39y + -3.55z <= 403.98
-3.42x + -8.41y + -6.9z <= 453.5
0.56x + 4.23y + 8.19z <= 108.75
-0.28x + -9.44y + -4.18z <= 933.06
5.6x + -1.32y + 5.37z <= 408.11
-0.49x + -7.98y + 0.98z <= 519.6
-8.54x + 0.65y + 8.92z <= 286.97
1.46x + 5.58y + 8.2z <= 539.44
1.87x + -6.19y + -6.8z <= 834.24
3.33x + 5.96y + 5.35z <= 515.61
0.42x + 3.37y + -6.27z <= 363.12
-8.65x + -4.74y + -2.46z <= 266.03
-6.89x + 7.3y + -8.84z <= 814.28
-0.9x + -6.15y + 2.23z <= 887.67
-1.16x + 6.66y + 2.71z <= 363.86
7.89x + -7.81y + 0.56z <= 629.46
4.34x + 7.76y + -1.29z <= 761.2
2.03x + -2.26y + -2.37z <= 432.84
3.74x + 8.4y + 0.48z <= 770.17
-8.83x + -4.96y + 4.15z <= 881.09
0.15x + -6.74y + 5.47z <= 851.14
9.87x + -4.12y + 1.22z <= 535.41
9.12x + 5.23y + 3.05z <= 990.82
-0.02x + 6.76y + 0.53z <= 720.83
-3.13x + -8.08y + -6.8z <= 664.84
5.51x + 6.06y + -3.05z <= 781.9
5.48x + 1.2y + -4.89z <= 396.5
-7.04x + 5.69y + -3.15z <= 839.78
5.17x + 7.89y + 7.95z <= 651.32
6.88x + -7.41y + -1.55z <= 157.64
0.83x + 9.79y + -4.92z <= 976.1
-5.5x + -7.98y + -1.33z <= 315.7
8.39x + 9.57y + -0.35z <= 376.02
-3.55x + 1.73y + 6.52z <= 723.48
4.55x + 7.83y + 0.22z <= 427.54
-8.11x + 2.04y + -0.37z <= 520.92
4.76x + -3.69y + 7.56z <= 653.15
9.81x + -6.15y + 5.02z <= 450.4
-9.76x + -0.48y + -9.41z <= 725.41
-5.37x + 6.36y + -3.39z <= 321.49
0.45x + -0.18y + 5.59z <= 477.18
1.84x + 2.68y + 9.66z <= 760.84
-6.94x + 4.65y + 8.77z <= 643.22
-0.85x + 5.59y + 1.66z <= 326.74
-8.21x + -0.39y + -1.2z <= 783.8
-7.1x + 5.12y + -3.09z <= 548.89
-8.69x + 8.88y + -0.2z <= 597.83
-1.16x + -4.73y + -1.56z <= 976.6
-1.04x + 9.64y + -8.93z <= 797.76
9.35x + 2.07y + -6.55z <= 589.36
-4.7x + 7.11y + -9.81z <= 152.72
-5.77x + 2.98y + 0.18z <= 918.13
8.18x + -4.91y + -4.28z <= 658.71
1.89x + -6.25y + 4.28z <= 101.54
-7.45x + 7.51y + 0.87z <= 856.39
1.32x + -5.21y + -4.95z <= 989.63
7.12x + -4.37y + 3.85z <= 506.28
-8.73x + -8.88y + -7.55z <= 215.3
-0.83x + 1.76y + -0.6z <= 180.32
-2.31x + -6.74y + -5.4z <= 197.98
-1.52x + -5.44y + 1.98z <= 531.63
5.7x + 6.61y + 8.37z <= 836.48
-9.47x + 4.76y + -1.19z <= 673.86
9.89x + 8.53y + 8.69z <= 579.57
-6.46x + -5.81y + -2.18z <= 760.57
-6.58x + 0.98y + -1.04z <= 964.25
-8.23x + 9.29y + 3.4z <= 706.28
9.26x + 8.75y + -0.23z <= 343.81
-4.71x + 0.67y + -3.19z <= 747.81
-2.29x + -5.09y + -8.62z <= 507.38
-1.9x + 3.14y + -1.84z <= 272.16
-6.56x + 4.62y + -5.33z <= 471.69
6.48x + -6.59y + -3.37z <= 135.83
1.39x + 1.45y + -2.2z <= 957.48
-5.66x + 2.73y + -3.97z <= 647.6
-0.83x + 8.56y + 0.63z <= 532.11
-4.74x + 1.47y + -7.08z <= 813.3
-6.19x + -9.15y + 0.01z <= 511.72
-4.03x + 2.0y + 1.04z <= 229.46
-3.77x + -4.23y + -1.69z <= 113.25
-5.61x + 7.98y + 8.58z <= 791.53
6.91x + -0.72y + -6.03z <= 368.75
-2.09x + -5.72y + 7.8z <= 953.94
6.76x + 8.11y + -7.37z <= 656.05
9.87x + -4.19y + 1.43z <= 706.44
-1.39x + -5.16y + 2.58z <= 463.0
-4.15x + 3.26y + 4.67z <= 739.21
6.72x + 3.94y + 2.52z <= 842.56
5.81x + -7.34y + 7.58z <= 955.38
7.62x + -6.67y + -1.45z <= 788.22
5.3x + -5.4y + 4.78z <= 893.1
1.56x + 7.49y + 1.95z <= 494.44
0.08x + 4.77y + 6.98z <= 249.05
-8.64x + 0.17y + -9.08z <= 699.8
1.37x + -1.04y + -4.98z <= 405.66
-6.23x + 5.32y + -2.7z <= 768.2
5.43x + -0.57y + 5.11z <= 565.38
4.69x + 7.19y + -6.46z <= 762.05
-2.21x + 2.33y + -9.79z <= 262.38
7.68x + -7.69y + -0.31z <= 659.06
-2.47x + 1.94y + -6.55z <= 945.01
3.66x + -2.23y + -6.51z <= 209.49
4.8x + 7.93y + 7.91z <= 175.71
1.19x + 5.27y + 4.99z <= 243.47
-7.86x + 2.22y + -9.71z <= 130.12
-1.87x + -6.11y + -0.39z <= 246.83
1.4x + -3.66y + 8.26z <= 270.11
3.4x + -2.81y + -5.76z <= 571.68
0.69x + 4.72y + -3.33z <= 256.46
6.98x + -5.38y + -1.25z <= 284.56
-2.1x + -9.84y + -9.41z <= 562.89
4.97x + 6.17y + -5.73z <= 727.76
2.25x + 4.58y + 8.83z <= 603.48
-6.67x + 9.24y + 0.23z <= 548.3
-1.72x + 3.42y + 3.0z <= 780.53
0.12x + 8.53y + -7.58z <= 690.14
1.22x + -2.26y + 8.87z <= 352.81
5.68x + -4.61y + 2.0z <= 651.47
-8.86x + -5.34y + -8.93z <= 691.56
-5.49x + -7.19y + 8.09z <= 561.73
-3.63x + -7.61y + -1.61z <= 146.74
-7.51x + 1.23y + -6.15z <= 677.75
-3.24x + -1.23y + -0.05z <= 145.58
-4.97x + -8.48y + -9.57z <= 248.36
1.89x + -8.28y + 9.78z <= 156.97
7.71x + 9.19y + 9.34z <= 423.44
-8.83x + -0.14y + -8.45z <= 148.35
-7.85x + 2.21y + 4.93z <= 378.52
9.41x + 8.43y + -2.78z <= 636.46
9.84x + -6.99y + 7.41z <= 713.27
7.69x + -7.65y + 1.28z <= 644.77
-8.82x + -4.11y + -1.81z <= 807.01
5.19x + 1.56y + -1.54z <= 897.11
6.55x + 5.79y + -2.98z <= 398.32
-7.78x + 9.13y + 7.78z <= 480.72
8.34x + -0.45y + -5.69z <= 542.16
6.7x + -4.54y + -5.06z <= 699.99
4.47x + 4.9y + 4.05z <= 546.68
6.82x + 9.07y + -8.31z <= 349.96
-3.05x + 1.17y + -4.26z <= 673.38
2.15x + -2.02y + -3.82z <= 414.72
-4.8x + -0.83y + -4.47z <= 886.13
1.84x + -7.85y + -5.86z <= 296.14
-7.41x + 6.17y + 4.41z <= 878.24
3.28x + 7.72y + 0.14z <= 805.05
-7.26x + -7.29y + 9.42z <= 465.01
-4.58x + -0.98y + -6.17z <= 744.12
-6.9x + 9.78y + 7.49z <= 716.59
-2.79x + 4.12y + 8.71z <= 879.14
-6.54x + -0.35y + 7.29z <= 786.86
-3.37x + 9.58y + -6.31z <= 358.74
-2.13x + 8.76y + 9.69z <= 811.68
-7.71x + 1.65y + 4.03z <= 359.85
6.29x + 6.47y + 1.57z <= 328.72
3.22x + 4.41y + -3.11z <= 922.43
1.53x + -2.32y + -2.62z <= 641.66
-9.31x + 4.68y + 4.65z <= 469.75
1.54x + 4.08y + 7.92z <= 351.23
0.6x + 4.8y + 7.39z <= 354.58
5.0x + -6.21y + -2.26z <= 919.01
3.09x + -4.92y + 8.46z <= 816.65
7.88x + -8.3y + -8.81z <= 459.98
0.93x + -6.99y + 9.76z <= 357.05
-6.55x + 6.37y + -6.56z <= 787.42
-1.88x + -7.49y + -6.54z <= 781.44
9.19x + -6.68y + 7.85z <= 717.07
-4.94x + -7.03y + 2.52z <= 210.9
3.56x + -0.27y + -3.65z <= 724.42
-1.49x + -9.42y + 5.61z <= 601.51
0.04x + -6.51y + 0.91z <= 333.21
2.12x + -9.96y + 9.55z <= 894.93
-4.97x + -4.81y + -8.54z <= 208.96
9.12x + 7.52y + -8.69z <= 538.68
-4.92x + -5.15y + 8.35z <= 294.93
4.57x + 1.33y + -5.11z <= 978.89
-3.07x + 5.34y + 4.77z <= 803.87
-3.29x + 6.51y + -0.79z <= 242.9
1.08x + -6.79y + 3.97z <= 540.2
-8.57x + 0.78y + -1.13z <= 640.99
7.6x + 9.19y + 3.21z <= 163.88
4.48x + 6.99y + -6.96z <= 632.86
-2.8x + 0.39y + -7.23z <= 229.9
1.89x + 0.09y + -3.49z <= 537.51
4.15x + -0.59y + -9.68z <= 343.7
-4.23x + -9.2y + -6.27z <= 934.88
-8.81x + -4.33y + 7.85z <= 650.13
4.91x + 1.59y + -1.54z <= 263.77
-5.42x + -6.58y + 9.68z <= 316.44
-3.16x + -8.41y + -9.53z <= 353.69
-5.41x + -7.17y + -9.48z <= 605.46
2.94x + -1.07y + 3.93z <= 710.73
-0.9x + 9.11y + -4.98z <= 499.06
-4.48x + -2.8y + 7.24z <= 897.27
4.64x + -6.59y + -7.46z <= 457.26
6.43x + -7.05y + 6.63z <= 387.03
-1.07x + 1.73y + -5.17z <= 657.37
-3.73x + -6.28y + -4.94z <= 438.96
2.82x + -0.16y + 1.38z <= 211.62
4.17x + -0.16y + -7.03z <= 687.73
-4.84x + -7.0y + 2.51z <= 571.19
-5.78x + 6.11y + 0.95z <= 237.53
2.95x + -7.87y + 3.18z <= 886.61
2.47x + -6.85y + 2.49z <= 164.48
5.87x + 8.08y + -8.75z <= 896.83
7.54x + -5.26y + -3.6z <= 960.94
-0.36x + 5.77y + 4.18z <= 158.42
-6.92x + -2.57y + -8.32z <= 707.72
-8.82x + 9.88y + -5.95z <= 702.18
-3.95x + 2.05y + -1.6z <= 422.69
8.16x + -2.52y + -4.0z <= 782.24
-4.08x + -5.14y + -6.87z <= 186.5
-1.0x + -4.79y + -9.06z <= 806.66
-2.94x + 5.22y + 6.88z <= 939.66
9.44x + -6.69y + 1.98z <= 646.96
-0.61x + 3.72y + 0.88z <= 697.74
-6.95x + 7.39y + 6.68z <= 836.78
9.97x + 8.47y + 2.19z <= 939.11
1.84x + -3.1y + -0.22z <= 656.67
1.01x + -1.39y + 1.48z <= 240.06
1.69x + -5.41y + -4.27z <= 531.91
0.65x + 6.55y + -6.91z <= 823.05
-7.8x + -0.48y + 7.98z <= 112.65
-2.81x + -7.04y + -7.4z <= 122.75
-7.47x + -6.4y + 6.2z <= 970.7
-2.44x + 3.27y + -4.1z <= 398.85
9.91x + 7.82y + 0.33z <= 518.01
1.69x + 3.18y + -5.39z <= 805.73
2.97x + -0.02y + 4.0z <= 503.07
2.28x + 8.19y + 7.78z <= 404.27
-5.32x + 6.32y + -8.19z <= 697.99
4.38x + 3.14y + 0.38z <= 584.38
0.38x + -0.86y + -4.47z <= 386.38
8.18x + 2.5y + 7.96z <= 123.46
-4.13x + 8.3y + 4.55z <= 817.71
0.38x + -7.84y + 1.19z <= 267.91
2.42x + -7.49y + -8.32z <= 778.32
3.93x + 4.5y + -8.02z <= 578.44
-7.1x + -8.05y + -7.57z <= 220.0
