max -7.92x + -0.77y + -8.39z
7.83x + 8.75y + -5.2z <= 344.24
-9.98x + 4.3y + -2.93z <= 710.76
-1.16x + 8.75y + -6.53z <= 605.64
2.06x + -6.75y + -9.27z <= 372.98
7.62x + -6.43y + -3.38z <= 509.64
7.28x + -1.6y + -7.08z <= 574.34
9.96x + -6.72y + 6.55z <= 875.22
-4.5x + 6.53y + -5.64z <= 780.71
-0.12x + -3.48y + -6.92z <= 931.34
-5.76x + -4.79y + 9.02z <= 959.32
1.04x + -5.18y + 5.97z <= 500.88
1.96x + 6.7y + 9.77z <= 576.92
-9.16x + -5.53y + -5.44z <= 971.75
6.27x + 0.03y + -7.73z <= 760.09
-7.08x + -6.88y + -3.26z <= 814.27
1.26x + -8.23y + -8.19z <= 724.35
-1.62x + 9.31y + -6.98z <= 370.04
5.49x + 1.86y + 2.49z <= 661.5
6.55x + -5.67y + 0.99z <= 474.05
9.42x + -5.21y + -9.85z <= 534.9
8.84x + 6.52y + 8.23z <= 291.05
0.81x + -3.83y + -5.93z <= 655.79
0.19x + -9.92y + -4.15z <= 881.15
-4.27x + 0.47y + 5.73z <= 612.36
-4.48x + -8.17y + -0.31z <= 779.0
-1.36x + 9.23y + 3.42z <= 212.62
4.71x + -9.98y + 2.5z <= 716.86
7.29x + -5.34y + -7.12z <= 478.44
5.41x + 0.24y + -4.41z <= 936.53
-5.19x + 8.74y + -4.14z <= 107.7
-7.52x + -6.39y + 2.34z <= 636.82
7.66x + 2.02y + 5.96z <= 818.92
-5.65x + 2.46y + -8.18z <= 521.01
8.35x + 7.49y + -8.38z <= 889.78
6.57x + 0.25y + -8.51z <= 142.04
-2.31x + -5.94y + 6.3z <= 907.18
3.26x + 6.39y + -8.96z <= 863.84
0.23x + -2.29y + -5.04z <= 757.63
-3.1x + 7.47y + -9.39z <= 337.46
-1.53x + 3.87y + -0.34z <= 104.8
-7.65x + 4.31y + -0.46z <= 484.43
7.16x + -5.28y + -4.4z <= 622.76
2.5x + 5.95y + 8.98z <= 306.1
-4.37x + 9.31y + 9.68z <= 710.59
-7.88x + 1.88y + -5.79z <= 919.57
-7.55x + -6.43y + -0.82z <= 496.05
-0.16x + 3.72y + 0.42z <= 327.34
2.21x + -7.36y + -9.02z <= 830.05
-7.12x + 2.06y + -0.44z <= 272.99
-9.48x + 6.02y + -7.28z <= 837.22
3.62x + -6.85y + 1.94z <= 240.06
8.67x + 8.44y + -9.26z <= 162.37
9.7x + 1.72y + 4.27z <= 179.37
-6.82x + -3.98y + -8.19z <= 914.44
-2.61x + 3.58y + -4.41z <= 445.62
-6.57x + -8.31y + 2.88z <= 651.61
-8.48x + 5.35y + 5.95z <= 340.28
6.47x + -9.21y + -0.73z <= 240.76
3.65x + -9.07y + 5.37z <= 725.24
6.23x + 0.74y + 4.49z <= 628.17
0.32x + 3.43y + 4.09z <= 282.45
6.73x + -8.24y + -5.32z <= 576.65
3.61x + 0.98y + 7.62z <= 253.46
0.01x + 0.06y + 2.97z <= 736.24
-7.12x + -3.06y + -9.45z <= 782.75
-1.87x + -3.29y + -7.83z <= 733.69
-4.7x + 1.15y + -4.12z <= 230.95
4.09x + 9.32y + -8.42z <= 118.34
5.45x + 1.18y + 1.39z <= 861.29
0.65x + -9.21y + -3.79z <= 770.29
-9.54x + -6.52y + -8.95z <= 467.81
-1.64x + 3.1y + 8.9z <= 836.6
8.66x + -0.81y + 3.47z <= 352.33
-5.66x + 2.98y + 8.16z <= 187.06
1.94x + 4.31y + -4.18z <= 470.34
5.95x + 4.2y + -4.14z <= 758.33
-0.16x + -5.67y + -6.27z <= 162.79
-5.5x + 2.08y + -3.37z <= 797.57
-5.17x + -0.71y + -1.18z <= 625.43
1.26x + -9.5y + -4.37z <= 155.12
-4.73x + 6.55y + -3.86z <= 673.9
-1.8x + -8.98y + 8.06z <= 416.86
-3.22x + -0.64y + -5.87z <= 745.06
7.44x + -0.03y + -2.35z <= 927.98
-3.85x + 8.87y + 8.36z <= 883.62
-5.68x + -3.86y + 5.5z <= 650.14
2.06x + -8.38y + 4.89z <= 838.59
-7.39x + 8.87y + 8.5z <= 857.71
-8.68x + -1.47y + 1.6z <= 443.47
3.51x + 7.58y + 8.05z <= 702.04
1.84x + -5.27y + -1.56z <= 237.03
9.34x + 2.51y + -0.08z <= 919.47
5.34x + 0.55y + 1.41z <= 722.46
-2.18x + 2.27y + -3.49z <= 656.14
-9.58x + -8.32y + -6.44z <= 538.67
-3.98x + -2.72y + -3.09z <= 852.57
-8.42x + 8.05y + -9.24z <= 217.71
-3.05x + 0.65y + -4.67z <= 385.45
6.61x + 1.79y + -9.08z <= 941.47
-5.02x + -8.0y + 6.48z <= 405.96
1.76x + 4.85y + -9.08z <= 524.54
-4.73x + 8.06y + -2.64z <= 221.5
-9.32x + 4.68y + 7.37z <= 854.4
0.47x + 7.77y + -0.15z <= 769.23
8.96x + 3.55y + -0.02z <= 520.52
-8.69x + 3.08y + -9.43z <= 495.39
-0.59x + -1.01y + 9.76z <= 553.7
9.62x + -3.05y + 4.86z <= 354.5
-1.31x + -7.42y + 6.98z <= 530.89
-4.93x + 3.2y + 8.88z <= 384.41
-0.17x + 7.81y + -3.07z <= 751.73
-4.33x + -9.5y + -2.32z <= 533.64
5.52x + -6.11y + 2.6z <= 818.58
-5.81x + 2.05y + 2.29z <= 401.0
3.26x + -0.18y + 1.43z <= 639.96
-8.59x + 3.56y + -1.34z <= 425.64
9.33x + -1.02y + 3.46z <= 914.09
6.77x + 5.29y + -8.01z <= 744.24
-6.99x + 4.3y + -6.92z <= 591.02
8.82x + -3.89y + -5.33z <= 940.44
-7.21x + 0.07y + 3.99z <= 111.93
-3.76x + 5.04y + -0.37z <= 409.2
4.57x + 3.01y + -0.1z <= 425.08
-5.28x + -9.46y + -3.48z <= 766.35
3.94x + -5.21y + -5.51z <= 766.48
-7.61x + 7.67y + -1.83z <= 837.53
2.23x + 2.47y + -2.49z <= 203.26
-2.32x + 2.63y + -6.71z <= 260.76
-9.79x + 7.36y + -8.0z <= 618.31
6.24x + 1.99y + -2.67z <= 415.23
8.03x + 6.05y + -3.05z <= 311.82
-8.76x + -2.06y + 6.93z <= 983.76
-6.04x + 4.19y + 6.95z <= 861.54
-2.67x + -4.28y + -2.34z <= 813.0
-3.39x + 4.69y + -7.57z <= 700.19
-0.09x + -8.56y + -0.33z <= 784.45
-3.94x + -4.09y + -6.63z <= 737.8
8.76x + 6.55y + 9.72z <= 775.46
-0.17x + -7.42y + 1.42z <= 906.15
-8.68x + -0.53y + 8.84z <= 817.24
-0.46x + -4.94y + -9.04z <= 687.99
2.82x + 9.26y + -6.22z <= 689.09
-9.74x + -7.02y + 5.83z <= 765.17
4.35x + -3.0y + 7.74z <= 859.53
0.77x + 0.33y + -8.39z <= 865.83
2.41x + 3.32y + -0.29z <= 256.4
1.58x + -5.32y + 1.05z <= 918.55
-4.21x + -1.63y + -2.86z <= 787.99
2.19x + -3.24y + -3.59z <= 552.82
7.64x + -7.02y + 6.36z <= 553.74
5.48x + 9.07y + -9.22z <= 708.85
-3.73x + -7.43y + -5.37z <= 781.36
-4.38x + 9.29y + 1.29z <= 332.38
-2.89x + 4.12y + 9.16z <= 387.22
2.62x + -2.02y + 1.56z <= 958.2
6.76x + -4.47y + 4.77z <= 578.88
-8.75x + 0.19y + -8.23z <= 139.54
-6.53x + -6.35y + -8.4z <= 563.74
3.49x + 5.95y + -2.75z <= 202.95
4.29x + -9.29y + 8.16z <= 944.44
1.39x + -9.17y + -4.8z <= 765.82
3.46x + -0.18y + -1.09z <= 953.52
1.8x + -7.96y + -3.52z <= 813.32
5.02x + -8.54y + -7.25z <= 231.24
8.9x + -7.29y + 2.78z <= 635.43
6.78x + -6.69y + -4.71z <= 369.5
-7.27x + 7.95y + -4.19z <= 378.51
5.12x + 0.31y + -9.3z <= 702.41
-3.31x + -0.6y + -6.79z <= 606.49
6.02x + 4.81y + -1.33z <= 247.24
8.89x + 4.06y + 3.02z <= 295.55
9.77x + -4.13y + -1.41z <= 589.39
2.34x + -1.14y + 2.26z <= 245.81
6.61x + -1.34y + 2.16z <= 690.0
6.3x + 7.76y + -9.83z <= 710.35
-6.61x + -5.55y + 7.48z <= 739.09
2.95x + -3.39y + -2.09z <= 637.19
-2.33x + 0.97y + 6.14z <= 576.81
-7.35x + -2.99y + -6.1z <= 784.52
-8.74x + -9.58y + -2.43z <= 184.93
-8.61x + -2.89y + -3.64z <= 992.54
-2.16x + -0.83y + 0.17z <= 792.2
-3.73x + 4.16y + -5.0z <= 812.16
-5.98x + 2.68y + 6.84z <= 664.56
-1.46x + 9.63y + -1.68z <= 518.39
-6.26x + -1.8y + 4.62z <= 171.57
-1.58x + 0.43y + -4.99z <= 708.95
-8.19x + 6.94y + -0.76z <= 422.91
-5.33x + 9.88y + 6.39z <= 631.85
-5.53x + -1.34y + -9.06z <= 565.4
1.28x + -4.54y + 2.5z <= 655.61
3.69x + -0.63y + -5.56z <= 936.1
-5.72x + 7.44y + -0.83z <= 467.73
9.55x + 4.58y + -5.74z <= 499.4
8.74x + -2.93y + 7.06z <= 864.81
-1.53x + 2.59y + -4.06z <= 522.95
-5.08x + -7.99y + -3.16z <= 791.94
6.04x + -1.43y + -1.57z <= 435.33
-0.68x + -8.75y + -7.75z <= 518.72
3.04x + -5.22y + 5.88z <= 921.68
9.86x + 0.78y + -8.3z <= 840.83
7.64x + -7.27y + -2.0z <= 107.18
7.51x + 0.45y + 9.56z <= 904.69
-7.62x + -6.91y + 5.14z <= 668.08
-5.39x + -7.67y + 4.82z <= 919.13
2.38x + -7.31y + 2.26z <= 861.16
5.29x + -4.35y + -4.36z <= 204.05
-6.38x + 1.63y + -2.15z <= 131.07
-6.4x + -2.49y + 0.09z <= 830.15
-0.28x + -1.76y + -0.64z <= 400.84
-6.76x + 1.51y + 5.91z <= 490.2
0.43x + -9.17y + 6.01z <= 432.59
4.67x + 7.49y + 7.94z <= 696.22
-4.3x + 0.96y + -5.2z <= 640.23
-2.71x + -3.57y + 0.63z <= 974.77
8.99x + -9.42y + 5.47z <= 595.71
-6.97x + -3.94y + 4.34z <= 825.38
-6.76x + 4.3y + -4.08z <= 134.07
8.37x + 0.43y + 6.92z <= 152.54
-9.31x + 9.57y + -3.97z <= 611.2
2.04x + 1.51y + -2.85z <= 585.93
-2.38x + -9.48y + -1.72z <= 191.22
9.4x + -2.79y + -5.76z <= 936.93
9.24x + -4.21y + 6.22z <= 133.67
4.5x + 0.16y + 4.33z <= 969.98
6.36x + -6.25y + 3.19z <= 597.78
-8.43x + -3.62y + -0.34z <= 398.53
-8.55x + 4.4y + -1.45z <= 942.94
4.65x + 7.28y + 1.94z <= 273.27
7.35x + -8.05y + 0.47z <= 132.66
-2.38x + -0.55y + 8.78z <= 951.71
1.12x + -3.21y + -5.53z <= 595.43
-0.7x + -6.19y + 3.83z <= 706.93
3.92x + -1.86y + -4.48z <= 569.3
7.85x + -0.13y + -8.49z <= 424.6
7.92x + 9.61y + -9.01z <= 636.97
-6.07x + 7.9y + 6.86z <= 190.09
7.01x + 4.81y + -5.46z <= 427.27
-5.67x + 9.55y + -8.47z <= 373.33
9.08x + -3.34y + -8.46z <= 380.47
-6.58x + 9.63y + 3.74z <= 891.63
-0.48x + -3.1y + -4.42z <= 708.02
-4.12x + 2.27y + 1.3z <= 634.75
8.16x + 8.5y + 4.36z <= 183.3
6.45x + -4.83y + -2.04z <= 522.96
6.66x + -2.95y + -2.43z <= 811.01
9.38x + 3.85y + -6.9z <= 824.45
-1.67x + 6.63y + 6.08z <= 684.29
0.16x + -0.91y + 8.55z <= 883.36
1.06x + 8.8y + -1.56z <= 319.85
2.02x + 1.19y + 9.5z <= 957.12
6.92x + -7.63y + 9.75z <= 172.51
-9.07x + 4.74y + -3.33z <= 180.37
8.81x + -2.92y + 5.94z <= 923.56
8.12x + -8.37y + -9.13z <= 862.48
3.57x + 4.39y + 7.08z <= 536.0
0.65x + 5.03y + 0.55z <= 408.25
3.35x + 7.25y + -4.42z <= 771.25
-1.5x + 0.67y + 9.98z <= 140.56
1.68x + 0.14y + 2.94z <= 186.81
-7.34x + -0.5y + -6.52z <= 545.96
-8.66x + 3.28y + 2.63z <= 986.41
7.91x + -0.19y + 2.09z <= 385.86
8.53x + 7.52y + -9.24z <= 743.07
-1.77x + -6.22y + -5.91z <= 319.64
-5.0x + 7.08y + -6.18z <= 969.44
-1.01x + 3.61y + -1.25z <= 106.09
5.64x + 3.44y + 6.21z <= 386.11
-6.66x + -9.38y + -2.37z <= 318.35
4.34x + -5.39y + -8.92z <= 836.06
4.63x + -0.03y + 3.45z <= 987.97
7.43x + 5.21y + 8.02z <= 701.91
5.98x + -6.64y + 0.4z <= 378.5
3.87x + 6.27y + 2.6z <= 990.11
5.36x + 4.73y + -7.98z <= 775.66
3.41x + -9.36y + 7.2z <= 651.68
-0.23x + 4.13y + 2.97z <= 644.41
4.61x + 9.12y + 6.29z <= 115.18
3.45x + -5.26y + 9.83z <= 497.3
-7.75x + 1.25y + 5.66z <= 648.09
-7.36x + 3.57y + 7.51z <= 665.93
7.22x + -4.44y + 4.14z <= 560.01
3.54x + -6.74y + 2.37z <= 428.01
8.24x + -5.5y + 6.44z <= 208.76
3.02x + 7.45y + 0.4z <= 567.71
7.53x + -8.67y + 2.57z <= 833.93
7.47x + -2.95y + -3.7z <= 100.02
5.07x + 6.74y + 3.38z <= 664.67
-3.18x + 9.95y + -7.29z <= 646.01
-5.01x + 2.29y + 0.48z <= 272.08
-9.2x + 4.77y + -2.6z <= 971.35
3.0x + -4.72y + 2.14z <= 656.33
-1.92x + -8.5y + -2.06z <= 763.74
0.47x + 0.72y + 9.98z <= 625.38
4.83x + 8.28y + -2.77z <= 818.93
-0.37x + -6.24y + -8.24z <= 527.31
6.28x + 7.94y + -9.25z <= 784.43
0.47x + -9.55y + 6.63z <= 335.68
-3.63x + -7.12y + -8.08z <= 695.77
0.51x + -8.17y + 2.23z <= 931.28
4.9x + -8.77y + -0.13z <= 903.47
2.45x + 5.06y + 4.54z <= 273.01
-2.03x + 2.87y + -7.44z <= 631.21
-1.27x + 9.13y + -7.4z <= 639.48
6.83x + 9.86y + -6.3z <= 687.54
5.39x + -5.99y + 5.15z <= 714.33
-4.38x + 8.03y + -5.5z <= 796.96
3.91x + -6.3y + -9.74z <= 271.63
-7.69x + -3.99y + 6.49z <= 971.91
-4.59x + 0.19y + -2.47z <= 572.77
0.49x + 7.61y + 5.98z <= 127.54
8.24x + -6.17y + 7.61z <= 865.72
-1.46x + 3.1y + -1.86z <= 314.09
-3.38x + -3.75y + 1.82z <= 712.89
-5.63x + 9.81y + 1.3z <= 499.8
-0.36x + 4.87y + -1.35z <= 706.13
-0.41x + -9.59y + 7.82z <= 401.42
-9.43x + 1.26y + -4.14z <= 106.41
-0.79x + -1.77y + -5.85z <= 193.48
-7.98x + -5.72y + 8.93z <= 552.88
8.46x + -6.98y + 0.65z <= 737.52
-9.4x + -1.22y + 0.44z <= 504.61
-6.17x + -4.65y + -0.55z <= 196.47
-4.19x + 8.43y + 4.19z <= 854.65
3.54x + -3.64y + 7.73z <= 547.55
2.77x + 9.03y + -7.64z <= 741.05
-6.65x + -6.06y + -2.21z <= 612.9
-8.76x + 3.54y + -6.3z <= 615.21
6.96x + 3.25y + 4.45z <= 606.42
-2.69x + -6.13y + -5.13z <= 187.11
-9.59x + 1.24y + 1.34z <= 592.54
0.52x + 2.73y + -2.05z <= 344.4
0.09x + 1.79y + 9.88z <= 879.07
0.37x + 2.23y + 2.23z <= 639.8
1.78x + 1.16y + -7.37z <= 206.99
0.07x + 7.62y + 2.96z <= 880.0
-9.07x + -1.8y + 4.46z <= 223.0
-7.11x + -8.55y + 4.63z <= 647.84
0.03x + -0.85y + 0.59z <= 182.18
8.36x + 9.03y + 4.8z <= 968.45
-9.41x + -4.84y + -7.46z <= 971.09
-2.15x + -7.09y + 3.83z <= 426.32
-1.47x + -4.32y + -9.97z <= 965.21
-3.51x + -6.0y + 9.37z <= 278.3
-3.61x + -9.85y + 7.69z <= 912.87
-3.05x + 9.36y + 8.8z <= 558.77
-1.1x + 6.62y + -0.68z <= 206.11
0.75x + -6.19y + -8.31z <= 247.44
0.53x + 5.45y + -2.63z <= 860.65
-0.22x + 4.41y + 3.99z <= 106.82
-0.5x + -6.51y + 8.49z <= 229.0
-8.65x + -3.08y + -0.13z <= 917.63
-9.9x + -9.76y + -1.67z <= 513.03
3.48x + 2.75y + 4.11z <= 718.44
1.14x + 7.24y + 5.62z <= 673.45
-4.26x + -6.74y + -0.06z <= 744.37
8.48x + -2.22y + -1.2z <= 920.27
-4.51x + 3.32y + 2.57z <= 805.07
-3.0x + -4.8y + 6.65z <= 916.09
2.18x + 9.94y + -2.55z <= 371.62
3.53x + -1.42y + -3.3z <= 891.7
-8.22x + 2.06y + -5.19z <= 905.21
-2.6x + 4.79y + -4.26z <= 854.89
6.56x + -4.34y + -4.36z <= 281.55
1.2x + 2.08y + 1.82z <= 263.87
-9.6x + 7.56y + -9.5z <= 620.29
6.66x + 8.2y + -8.29z <= 662.38
-0.66x + -4.46y + -0.5z <= 957.03
-5.7x + -0.98y + -6.62z <= 435.25
-1.53x + -8.2y + -0.14z <= 642.61
-5.29x + 5.94y + 2.37z <= 556.02
9.53x + 5.82y + 8.57z <= 492.65
8.05x + 9.82y + -6.86z <= 634.59
9.14x + -5.74y + -9.86z <= 511.25
2.19x + -5.71y + -3.75z <= 718.34
9.18x + 8.02y + -1.66z <= 583.17
-9.36x + 2.47y + 8.51z <= 392.09
6.17x + 4.03y + -4.59z <= 122.68
-1.9x + 7.82y + -2.46z <= 620.78
9.69x + 4.53y + -8.86z <= 815.23
-0.48x + 8.99y + -1.49z <= 691.09
-3.86x + -0.81y + 5.48z <= 108.57
8.78x + -9.06y + 7.96z <= 485.36
9.59x + -0.65y + 7.28z <= 256.14
-5.63x + 5.79y + -1.95z <= 371.14
9.24x + 8.41y + 2.35z <= 104.73
2.35x + 7.95y + -8.37z <= 571.03
-4.81x + -8.51y + 1.58z <= 633.24
-5.94x + -3.12y + 0.31z <= 863.37
8.52x + -5.85y + 2.27z <= 268.15
2.71x + 7.64y + -8.47z <= 473.17
-7.51x + 6.49y + -8.35z <= 686.14
-9.47x + 2.35y + -5.98z <= 455.69
-8.74x + 6.28y + -9.8z <= 499.19
7.98x + -2.49y + -9.27z <= 456.43
7.07x + -2.16y + -7.65z <= 293.8
-0.6x + 5.97y + 2.33z <= 817.11
9.98x + -8.48y + -9.92z <= 321.86
9.25x + 3.68y + -6.43z <= 960.05
1.93x + -1.25y + -5.75z <= 370.27
-4.67x + 3.44y + 8.47z <= 777.15
8.78x + 6.57y + -2.9z <= 933.84
-3.93x + 3.51y + 3.99z <= 527.06
-6.85x + 4.45y + -3.19z <= 810.38
6.49x + -9.39y + 5.63z <= 685.27
1.95x + -7.77y + 8.35z <= 543.93
-3.05x + 0.7y + -0.48z <= 334.3
-5.44x + -6.02y + -3.25z <= 997.9
1.52x + 0.66y + -5.24z <= 811.94
-9.17x + 4.47y + 6.0z <= 242.76
-6.75x + 9.06y + -9.59z <= 549.03
-8.31x + -4.94y + 3.49z <= 515.71
-8.5x + -9.74y + -6.73z <= 317.73
-9.74x + 7.25y + -2.4z <= 549.4
8.79x + -4.5y + 7.13z <= 468.55
0.17x + 3.55y + 0.91z <= 326.21
5.89x + 3.69y + -9.53z <= 739.85
0.2x + -5.17y + 4.29z <= 778.72
8.56x + -0.32y + -1.24z <= 776.47
4.01x + -8.53y + 1.11z <= 225.22
-6.98x + 2.41y + -8.04z <= 200.45
-4.27x + 4.32y + 3.53z <= 817.68
-2.77x + -6.57y + 6.86z <= 799.98
-1.67x + -5.64y + 0.02z <= 759.19
-6.19x + 6.7y + -5.04z <= 104.61
-4.13x + 5.67y + -2.59z <= 564.16
-7.11x + 1.96y + 9.96z <= 570.53
-4.33x + -7.96y + -1.95z <= 687.38
-6.36x + 9.19y + -6.62z <= 689.62
-2.79x + -0.69y + 10.0z <= 841.89
-0.56x + -8.13y + -0.16z <= 302.33
5.13x + -6.4y + 5.46z <= 258.1
3.57x + -2.75y + 0.66z <= 418.07
-2.61x + 2.79y + 8.98z <= 610.46
-8.74x + 7.69y + -1.65z <= 358.79
-1.11x + 0.83y + 9.71z <= 237.44
6.26x + -1.3y + -2.44z <= 405.84
-4.57x + 4.79y + 0.16z <= 975.58
0.12x + -9.92y + -2.24z <= 736.19
1.91x + 6.88y + 7.17z <= 612.19
-1.92x + 3.54y + -0.01z <= 573.64
8.41x + -9.39y + -2.01z <= 614.77
-3.37x + -6.49y + -7.74z <= 130.26
-7.86x + -9.1y + 5.46z <= 404.82
9.28x + -9.67y + 0.18z <= 872.84
4.72x + 8.79y + -0.42z <= 686.13
-7.05x + -6.89y + -0.2z <= 967.04
1.74x + 1.72y + 8.88z <= 712.89
5.11x + 8.48y + -9.44z <= 399.46
3.77x + -6.44y + -9.66z <= 720.82
3.73x + -6.35y + 4.9z <= 729.21
-7.47x + -4.67y + 6.39z <= 929.3
3.77x + 1.34y + 3.93z <= 368.22
0.1x + 4.66y + 8.45z <= 292.59
6.88x + -1.98y + 3.86z <= 497.6
9.94x + -4.53y + -5.98z <= 419.16
3.23x + 3.08y + -6.58z <= 266.99
-0.58x + 9.48y + -8.99z <= 598.39
-5.23x + 0.94y + 6.17z <= 147.8
-3.75x + 9.35y + 0.9z <= 393.24
1.47x + -4.55y + 7.32z <= 967.07
-3.24x + -3.33y + -7.84z <= 102.43
6.05x + -9.78y + -2.97z <= 776.57
-9.38x + -9.06y + 1.28z <= 987.7
-7.98x + 9.24y + 0.93z <= 973.49
1.47x + -3.95y + 0.74z <= 957.58
2.42x + -0.47y + 6.4z <= 368.44
4.31x + -6.82y + 8.48z <= 702.61
8.69x + 5.3y + -6.75z <= 662.5
0.46x + 9.85y + -6.55z <= 702.33
-6.73x + -4.19y + 4.55z <= 963.03
1.88x + 6.14y + 1.86z <= 904.88
-4.81x + 3.61y + -9.59z <= 325.19
6.06x + -8.04y + -1.39z <= 880.99
-9.35x + 6.54y + 6.81z <= 416.21
0.01x + 7.59y + -4.73z <= 135.39
-4.14x + -8.69y + 0.77z <= 806.03
6.87x + 3.57y + 3.69z <= 441.79
3.88x + 4.69y + 5.57z <= 514.59
-8.28x + 3.91y + 7.89z <= 698.97
-1.46x + 7.68y + 6.03z <= 115.5
-8.46x + 6.82y + -2.71z <= 711.49
0.47x + 8.14y + -3.49z <= 114.22
9.2x + -7.69y + 0.4z <= 945.65
3.31x + -1.69y + 7.34z <= 208.55
-5.38x + -7.38y + 1.45z <= 129.81
7.26x + 5.65y + -4.61z <= 547.9
-0.87x + -7.02y + -0.12z <= 922.81
1.43x + -3.52y + 6.77z <= 211.22
-1.03x + -7.63y + 6.23z <= 381.77
-4.81x + -6.37y + 1.36z <= 246.04
-0.66x + 7.64y + 9.44z <= 290.37
-6.11x + 2.87y + -4.23z <= 618.15
-4.22x + -2.77y + -2.97z <= 660.58
-1.41x + 6.31y + -5.85z <= 688.75
-5.07x + 6.33y + 4.31z <= 831.21
4.26x + -4.8y + -3.58z <= 652.9
2.35x + -8.57y + 8.95z <= 935.69
-9.03x + 3.41y + -1.34z <= 554.9
5.83x + -5.51y + -8.4z <= 936.46
1.85x + 1.04y + 5.15z <= 198.89
-3.82x + -0.86y + -1.83z <= 405.13
-1.45x + 1.41y + 7.64z <= 531.22
-5.62x + -5.07y + -1.99z <= 387.69
1.04x + 9.17y + 9.26z <= 380.49
-8.79x + -3.28y + 6.19z <= 912.0
0.43x + -6.39y + 2.75z <= 571.64
2.24x + -2.97y + 9.69z <= 611.24
6.65x + -2.52y + -8.43z <= 288.43
9.52x + 5.45y + -6.24z <= 242.57
-5.34x + -4.57y + 1.19z <= 953.64
-1.46x + 6.91y + 6.51z <= 837.92
6.05x + -1.94y + 2.56z <= 588.57
-8.56x + -4.21y + -0.97z <= 839.96
-6.96x + 2.24y + 4.79z <= 524.76
-6.58x + -3.76y + 2.34z <= 913.02
4.52x + -7.21y + -7.44z <= 209.58
1.62x + 7.54y + -3.14z <= 190.35
8.43x + -1.92y + 0.83z <= 441.07
4.74x + -7.49y + 9.16z <= 357.95
8.19x + -3.16y + 2.02z <= 826.26
-7.33x + -6.71y + 2.67z <= 313.28
7.58x + -9.37y + 5.73z <= 992.67
8.31x + 4.71y + -9.97z <= 247.87
-1.09x + 7.62y + -3.44z <= 918.38
-0.68x + 5.08y + 0.95z <= 914.41
-3.66x + 2.27y + -7.92z <= 711.54
8.84x + 6.55y + 10.0z <= 221.75
-6.78x + 0.28y + -9.16z <= 386.11
6.79x + -1.6y + 8.55z <= 834.1
4.01x + 0.4y + -5.21z <= 105.82
1.47x + 3.57y + 9.49z <= 544.69
-6.34x + 9.28y + 7.67z <= 792.23
6.17x + 1.31y + -1.77z <= 727.94
-5.93x + -1.01y + -4.87z <= 177.42
7.97x + 7.55y + -9.69z <= 339.61
-5.36x + 3.42y + 3.89z <= 315.85
-0.59x + 6.97y + -3.82z <= 585.45
6.85x + 1.82y + -1.6z <= 686.9
-4.62x + 3.9y + -0.05z <= 248.94
0.11x + -4.53y + -8.03z <= 204.58
-1.06x + -2.05y + 0.39z <= 371.31
-4.91x + -3.17y + 9.01z <= 768.74
-9.44x + -5.09y + -5.55z <= 272.37
-9.61x + 4.24y + 9.32z <= 702.52
8.14x + 7.21y + -5.09z <= 733.79
-6.41x + -8.11y + 4.81z <= 795.76
7.12x + -6.61y + 1.43z <= 469.63
7.66x + 1.01y + -8.58z <= 886.68
-2.92x + 5.81y + 7.85z <= 110.91
6.57x + -5.4y + 0.89z <= 487.86
-7.47x + -8.62y + 4.92z <= 824.77
-5.79x + 4.52y + 7.09z <= 510.35
1.95x + -2.17y + 0.68z <= 793.36
-5.28x + 7.64y + 2.79z <= 951.65
7.34x + 9.2y + 3.68z <= 184.25
8.54x + 6.98y + 0.07z <= 642.87
8.42x + -6.37y + -6.81z <= 535.0
-0.9x + -9.6y + 1.26z <= 125.1
9.19x + -1.98y + -1.14z <= 204.31
-4.83x + -5.56y + 6.11z <= 753.98
-2.62x + 0.33y + -3.04z <= 866.62
3.64x + 9.56y + -2.51z <= 713.79
-2.5x + -4.17y + 5.3z <= 102.6
2.0x + -8.44y + -4.5z <= 295.08
-1.05x + -9.32y + 7.76z <= 408.08
-0.42x + 0.06y + -9.79z <= 713.36
-7.04x + 1.79y + 6.85z <= 465.38
3.29x + 4.1y + -1.16z <= 775.07
5.39x + -8.44y + -2.85z <= 884.49
1.96x + -4.09y + -4.03z <= 225.62
-0.2x + 6.69y + -0.68z <= 777.25
6.31x + -1.64y + -2.26z <= 594.09
7.43x + 3.33y + -0.82z <= 933.75
-5.66x + 0.57y + 4.75z <= 697.95
-3.34x + -1.72y + 7.76z <= 389.41
5.59x + -5.48y + -2.56z <= 961.53
-8.58x + 4.22y + 6.42z <= 214.66
2.91x + -2.88y + -8.56z <= 188.76
9.56x + 3.97y + 9.73z <= 759.28
6.5x + 1.09y + -0.23z <= 642.02
-4.8x + 3.9y + -9.21z <= 844.66
-1.39x + 5.22y + 9.54z <= 622.09
4.18x + -9.69y + -7.47z <= 623.81
-9.21x + 1.33y + 3.99z <= 350.41
-7.29x + -7.07y + 7.77z <= 330.63
0.48x + 5.38y + 8.27z <= 352.24
-8.27x + -9.72y + -6.96z <= 613.27
7.5x + -4.49y + 4.94z <= 513.18
-7.44x + -9.93y + 7.49z <= 315.46
5.74x + 7.73y + -4.82z <= 741.23
0.19x + 2.21y + -6.04z <= 910.0
0.26x + 3.39y + 9.4z <= 941.21
1.2x + 6.26y + -1.21z <= 602.14
-1.48x + 3.84y + -7.7z <= 594.35
